Gene_ID,Gene_Name,CCT1,CCT2,VCT1,VCT2,VCT3,DCT1,DCT2,logFC.CCT,logFC.DCT,relative.CCT,relative.DCT,PValue
ENSMUSG00000029098.16,Acox3,4.66,4.63,23.14,16.48,17.11,4.19,2.8,-1.8783579294,-1.9794105388,0.2719931212,0.2535934628,0.000130634
ENSMUSG00000029185.14,Fam114a1,3.76,4.2,8.62,9.6,9.78,2.82,2.81,-1.0869112646,-1.2737032593,0.4707681868,0.4135967461,0.033638252
ENSMUSG00000029368.10,Alb,0.73,0.48,4.5,3.07,4.48,1.02,0.98,-2.385808635,-1.488493389,0.1913374743,0.3563845281,0.0329620564
ENSMUSG00000029661.16,Col1a2,388.31,410.68,1332.14,1373.69,1359.18,212.85,215.61,-1.6429021153,-2.2372463716,0.3202116905,0.2120907532,3.47081919962994E-07
ENSMUSG00000029675.12,Eln,9.97,11.04,48.82,46.63,45.41,14.44,13.78,-2.0284875722,-1.3033297407,0.2451118992,0.4051899396,4.07438802764063E-07
ENSMUSG00000029720.9,Gm20605,1.64,1.1,4.91,4.36,2.77,0,0.66,-1.3527667092,-2.8364548882,0.391540457,0.1400045008,0.0296292642
ENSMUSG00000029781.7,Fkbp9,17.03,20.19,44.58,40.1,40.3,14.48,14.76,-1.0389079159,-1.0804507523,0.4866957508,0.4728810544,4.2603605748578E-05
ENSMUSG00000029821.15,Dfna5,13.66,10.84,25.93,36.02,23.57,9.73,9.27,-1.0919478752,-1.151575641,0.4691275476,0.4501333491,0.0016070682
ENSMUSG00000030303.15,Far2,28.18,30.93,86.36,68.73,82.46,5.76,5.43,-1.3000623327,-3.374971925,0.4061086516,0.0963900523,0.000006778
ENSMUSG00000030317.8,Timp4,3.32,2.05,7.62,5.02,6.83,0.35,0.36,-1.1183831258,-3.4304596657,0.4606097562,0.0927531658,0.002503769
ENSMUSG00000030717.9,Nupr1,123.57,145.85,399.97,278.75,359.81,75.24,76.13,-1.2420099969,-1.7700834014,0.4227832141,0.2931917876,0.000117618
ENSMUSG00000031220.14,Awat2,6.05,5.96,40.93,25.62,31.27,2.23,2.57,-2.2982791101,-3.2846352256,0.2033054634,0.1026186442,7.37304659994561E-05
ENSMUSG00000031595.9,Pdgfrl,11.65,10.78,55.55,46.22,44.9,5.78,6.54,-1.9933134271,-2.5436521501,0.2511613841,0.1715080086,1.63036284771381E-06
ENSMUSG00000032014.5,Oaf,6.22,4.95,19.22,20.7,16.57,6.31,6.75,-1.6128971589,-1.0908414505,0.326941142,0.4694874666,0.0001441041
ENSMUSG00000032024.10,Clmp,4.52,4.85,13.38,15.13,12.66,2.6,2.82,-1.4077531435,-1.8759549732,0.3768982121,0.272446531,0.0002944189
ENSMUSG00000032035.15,Ets1,4.18,3.93,8.71,9.95,8.77,2.39,2.15,-1.0315578045,-1.5427204823,0.4891816511,0.3432376026,0.0218395905
ENSMUSG00000032315.5,Cyp1a1,3.58,3.68,9.37,8.11,7.73,0.4,0.64,-1.0662793643,-3.3523761887,0.4775489864,0.0979116142,0.0006052845
ENSMUSG00000032925.16,Itgbl1,3.46,3.43,12.33,11.88,10.78,3.95,4.33,-1.6055277763,-1.0508604778,0.3286154518,0.4826801899,0.0043804978
ENSMUSG00000032997.16,Chpf,8.15,5.67,21.96,21.72,13.52,6.25,5.96,-1.3297376541,-1.204138239,0.3978405803,0.4340285232,0.001826363
ENSMUSG00000033066.15,Gas7,27.91,27.62,67.08,67.39,58.65,18.03,17.89,-1.0908481593,-1.4112886557,0.4694852834,0.3759757048,7.6610445486208E-07
ENSMUSG00000033544.6,Angptl1,1.08,1.65,6.43,4.22,7.06,2.06,1.83,-1.8988930631,-1.135800939,0.2681490295,0.4550821993,0.0301575472
ENSMUSG00000034201.13,Gas2l1,17.82,20.16,54.22,47.08,38.21,8.56,8.52,-1.1677262647,-2.0066763057,0.4451223156,0.2488457572,5.08893381826833E-05
ENSMUSG00000034463.3,Scara3,6.45,5.51,15.35,14.25,12.47,5.17,5.16,-1.0948429615,-1.0016671112,0.4681870835,0.499422557,0.0145831793
ENSMUSG00000034777.2,Vax2,2.09,0.77,6.93,5.37,4.93,0.68,0.62,-1.7986435616,-2.5406234789,0.2874447206,0.1718684361,0.0057344337
ENSMUSG00000035041.8,Creb3l3,0.94,0.84,5.36,3.66,5.38,0.43,0.66,-2.1607504753,-2.5051127972,0.2236399023,0.1761513215,0.0077632402
ENSMUSG00000035504.16,Reep6,7.25,7.57,21.25,14.28,16.21,5.36,6.9,-1.0871851218,-1.0548832694,0.4706788325,0.4813361656,0.004856316
ENSMUSG00000035783.8,Acta2,66.81,70.31,175.82,160.35,158.88,54.53,54.35,-1.1464996936,-1.1736507487,0.451719878,0.4432981514,2.29164496216025E-06
ENSMUSG00000036139.6,Hoxc9,0,0,2.86,2.7,3.66,0.55,0.64,-4.538563259,-1.777136892,0.0430285114,0.2917618399,0.0073784014
ENSMUSG00000036256.13,Igfbp7,168.53,170.25,431.12,440.92,364.58,118.02,116.35,-1.1606141256,-1.3864762167,0.4473220791,0.3824979135,2.30523208300347E-06
ENSMUSG00000036446.4,Lum,66.24,55.45,176.39,193.97,185.15,52.89,53.49,-1.487482812,-1.3740764804,0.3566342553,0.3857995912,1.33376766011187E-06
ENSMUSG00000036545.8,Adamts2,3.19,3.93,16.08,14.14,13.82,3.62,4.1,-1.8882035253,-1.4777566207,0.2701432379,0.3590466929,8.75048058283839E-05
ENSMUSG00000036564.16,Ndrg4,4.22,4.49,12.05,11.17,9.22,2.38,2.58,-1.1702727783,-1.6590497046,0.4443373193,0.3166476539,0.005618493
ENSMUSG00000036596.6,Cpz,10.33,10.34,55.74,43.22,41.06,6.12,6.42,-2.0429614729,-2.4516923581,0.2426650977,0.1827961565,1.06779420938427E-05
ENSMUSG00000037096.6,Gm9762,6.96,6.69,31.76,35.59,30.52,8.64,5.65,-2.1178979031,-1.7513409103,0.2303823497,0.2970255805,7.34024824629942E-06
ENSMUSG00000037206.14,Islr,5.62,5.28,19.92,19.14,15.45,6.17,5.79,-1.5962745093,-1.1646094811,0.3307299242,0.4460849928,0.0001664701
ENSMUSG00000037379.7,Spon2,11.97,11.99,36.03,30.16,26.51,9.94,11.51,-1.239504136,-1.0941907852,0.4235181972,0.4683987772,0.0001355765
ENSMUSG00000037664.12,Cdkn1c,9.15,9.69,33.62,38.97,28.15,9.59,10.29,-1.7016297119,-1.3221861784,0.3074386151,0.3999284505,3.33018508589668E-05
ENSMUSG00000038135.4,Crygn,2,4.85,18.68,10.06,17.16,0.98,0.28,-2.0012047108,-3.9717994651,0.2497913267,0.0637337136,0.001475059
ENSMUSG00000038227.15,Hoxa9,0.03,0.02,20.8,12.47,20.14,0.59,0.14,-6.7619362738,-4.8360009632,0.0092141304,0.0350121396,5.62568791891994E-05
ENSMUSG00000038236.8,Hoxa7,1.43,2.33,37.02,42.29,40.42,7.61,6.17,-4.1999828252,-2.0928931079,0.0544100579,0.2344101414,8.74585727063996E-07
ENSMUSG00000039542.15,Ncam1,3.87,4.22,10.5,12.14,12.53,2.15,2.39,-1.3888956318,-1.8966164466,0.381856998,0.2685725108,0.0009306527
ENSMUSG00000039883.5,Lrrc17,4.26,3.98,10.59,12.53,10.68,3.71,3.96,-1.3065197741,-1.1091651328,0.4042949886,0.4635622102,0.0130490798
ENSMUSG00000040650.8,Cyp2b23,0.05,0.19,6.17,3.01,4.73,0,0,-4.1526746908,-5.1107626473,0.0562238208,0.0289405741,0.0008211788
ENSMUSG00000040699.13,Limd2,5.2,6.98,23.41,17.26,19.41,5.85,5.17,-1.5789467301,-1.4200606279,0.3347261734,0.3736966076,0.0002490255
ENSMUSG00000041120.6,Nbl1,36.32,36.16,106.71,89.35,75.76,30.99,31.34,-1.1991360529,-1.1108008558,0.4355360211,0.4630369227,0.0001004335
ENSMUSG00000041378.1,Cldn5,14.69,11.32,43,37.53,30.38,9.29,10,-1.3799429212,-1.5033561258,0.3842339969,0.3527318791,9.06521977295412E-05
ENSMUSG00000042250.13,Pglyrp4,9.77,10.63,34.86,26.83,28.96,5.29,5.33,-1.4369348384,-2.0624912391,0.3693511979,0.239402274,2.85272055268351E-05
ENSMUSG00000042436.12,Mfap4,83.37,82,377.45,323.62,306.22,54.51,51.57,-1.8999822882,-2.2337891179,0.2679466552,0.2125996139,2.95392324049212E-07
ENSMUSG00000042938.8,Gm14117,3.32,1.76,9.82,6.73,8.48,2.41,1.94,-1.5504711405,-1.4716418861,0.3413985556,0.3605717099,0.0107515362
ENSMUSG00000043613.7,Mmp3,7.11,5.13,54.2,40.68,44.86,7.37,8.09,-2.7842701144,-2.1514393658,0.1451614105,0.2250879351,9.06133649056797E-06
ENSMUSG00000043895.5,S1pr2,5.59,4.66,12.84,12.15,10.16,3.97,3.22,-1.0559287945,-1.2556830076,0.4809874663,0.4187952523,0.0168089685
ENSMUSG00000045362.7,Tnfrsf26,0.93,0.75,5.34,3.33,4.28,0.58,0.62,-2.084850091,-2.2389577847,0.2357206262,0.2118393074,0.0179562645
ENSMUSG00000045555.3,Mettl24,1.01,1.5,7.1,7.8,6.16,1.21,1.4,-2.2540061676,-1.9210379714,0.2096411499,0.2640644561,0.0021953164
ENSMUSG00000046295.13,Ankle1,1.82,2.32,5.28,5.45,4.89,0.41,0.4,-1.1639075545,-2.9704783401,0.4463020831,0.1275842069,0.0123429617
ENSMUSG00000046491.10,C1qtnf2,7.3,6.61,27.44,25.24,20.51,7.04,8.14,-1.6739309661,-1.2481520717,0.3133982511,0.420987099,2.77686040132687E-05
ENSMUSG00000047261.9,Gap43,1.87,2.29,4.5,6.49,4.39,0.69,1.02,-1.1355926773,-2.0334231444,0.4551478979,0.244274785,0.048130579
ENSMUSG00000047965.9,Rpl9-ps7,0,0,3.94,1.77,2.46,0,1.72,-4.3720838791,-1.1463097503,0.0482916016,0.4517793548,0.039212334
ENSMUSG00000048120.16,Entpd1,5.44,4.33,11.84,9.96,11.48,4.3,2.03,-1.0455435127,-1.3561529973,0.4844623605,0.3906225125,0.0162908638
ENSMUSG00000048387.7,Osr1,2.51,2.68,10.37,10.29,9.05,2.85,2.88,-1.7645586334,-1.333467458,0.2943167114,0.3968133703,0.0033832737
ENSMUSG00000049115.14,Agtr1a,1.24,1.59,5.17,6.3,5.59,1.98,1.92,-1.7986348689,-1.0795689601,0.2874464525,0.4731701732,0.0436777504
ENSMUSG00000050212.4,Eva1b,17.11,15.99,43.63,40.19,32.91,12.13,12.31,-1.1086320359,-1.2387039741,0.4637335349,0.4237531583,0.00004207
ENSMUSG00000051041.7,Olfml1,2.23,2.4,7.04,7.63,6.93,2.26,1.75,-1.4686754103,-1.3746255846,0.3613138818,0.3856527799,0.0274364692
ENSMUSG00000051855.15,Mest,2.07,3.08,12.4,7.33,12.64,1.6,2.6,-1.8973387982,-1.8856595627,0.2684380713,0.2706200127,0.0024234936
ENSMUSG00000052371.5,Hoxd3os1,2.1,1.95,9.05,6.88,8.49,3.42,1.34,-1.8249502784,-1.3123124629,0.2822508286,0.4026749236,0.0079594971
ENSMUSG00000052974.8,Cyp2f2,7.13,6.51,44.81,34.4,36.81,12.19,13.19,-2.3634713805,-1.1761852802,0.1943230063,0.4425200474,1.59846713344277E-05
ENSMUSG00000053964.16,Lgals4,5.76,4.63,21.47,12.66,18.53,2.44,3.04,-1.61451592,-2.2127106284,0.3265745068,0.215728602,0.0007850899
ENSMUSG00000054641.10,Mmrn1,1.34,1.65,4.56,4.99,3.98,0.66,0.63,-1.4001181998,-2.2107187564,0.3788980973,0.2160266557,0.0397819901
ENSMUSG00000054675.5,Tmem119,6.31,6.13,22.92,20.18,19.18,6.25,5.39,-1.600630056,-1.3939986757,0.3297329448,0.3805086945,1.78122468441226E-05
ENSMUSG00000055653.13,Gpc3,20.33,21.54,50.65,60.73,65.33,20.12,19.46,-1.3692049209,-1.1452651462,0.3871045256,0.4521065906,0.0001929424
ENSMUSG00000056069.8,Fam105a,3.83,3.05,8.4,6.62,8.58,1.58,1.77,-1.0475701618,-1.7457333352,0.483782282,0.2981823284,0.0230970046
ENSMUSG00000056481.6,Cd248,9.25,9.84,55.73,42.89,40.1,13.47,12.7,-2.1427489013,-1.3890321838,0.2264479052,0.3818208567,3.65113103003877E-05
ENSMUSG00000056978.7,Hamp2,7.91,4.71,183.89,119.49,148.18,12.6,11.12,-4.4313614344,-3.2303997699,0.0463476039,0.1065498325,0.000006404
ENSMUSG00000058385.7,Hist1h2bg,1.58,2.01,5.79,6.31,4.12,1.22,1.12,-1.4097901264,-1.6980084317,0.3763664341,0.30821128,0.0455754139
ENSMUSG00000058914.12,C1qtnf3,1.72,1.62,13.46,10.9,9.66,3.15,2.45,-2.5564586025,-1.5583094629,0.169992311,0.339548729,5.76558284764121E-05
ENSMUSG00000058966.13,Fam57b,1.23,2.43,7.91,3.64,4.82,0.35,0.85,-1.3967160038,-2.5676744796,0.3797926777,0.1686758714,0.0129574385
ENSMUSG00000059422.5,Gm8116,4.38,0,6.86,7.62,7.07,0,0,-1.541243261,-5.7274494877,0.3435892345,0.018874085,0.0217909446
ENSMUSG00000059606.3,Rnase2b,17.9,17.3,58.03,70.12,70.96,9.09,11.49,-1.7896411984,-2.2535971938,0.2892439727,0.2097005872,1.15153473254033E-05
ENSMUSG00000059776.7,Rpl13-ps6,2.48,2.9,9.25,12.13,6.34,0,0,-1.6164228957,-6.084552046,0.3261431209,0.014735583,0.0006381799
ENSMUSG00000060560.8,Ces4a,3.64,4.09,27.38,17.38,23.35,0.78,0.99,-2.3979174804,-4.1062091482,0.189738259,0.0580641239,5.54057796558431E-05
ENSMUSG00000060572.17,Mfap2,63.32,63.07,229.99,196.13,167.16,44.09,41.95,-1.522284648,-1.7704388738,0.3481341755,0.2931195556,0.000006094
ENSMUSG00000060935.5,Tmem263,16.93,12.53,37.89,50.41,34.34,8.61,8.14,-1.3464242839,-1.8492289517,0.3932655497,0.27754066,0.0001923866
ENSMUSG00000061313.7,Ddhd2,7.95,7.18,19.07,17.23,15.37,4.81,4.82,-1.0558680319,-1.394762506,0.4810077247,0.3803072887,0.0014604726
ENSMUSG00000061535.11,C1qtnf7,3.55,3.37,11.86,12.48,8.57,3.26,2.68,-1.5120906624,-1.428908308,0.3506027793,0.3714118349,0.003465482
ENSMUSG00000062593.15,Lilrb4a,0.35,0.87,4.8,5,4.54,1.28,1.49,-2.6193074031,-1.2998494874,0.1627458428,0.4061685705,0.0155147085
ENSMUSG00000066364.2,Serpina3b,48.05,54.34,269.12,180.09,224.59,5.96,7.49,-2.0121319104,-4.6172924909,0.2479065147,0.0407433244,4.38722120399213E-06
ENSMUSG00000066704.6,Cyp2b19,11.28,10.67,29.28,22.05,26.33,6.78,6.72,-1.1106017786,-1.5002050922,0.4631008215,0.3535031333,0.0001767173
ENSMUSG00000067597.5,Dgat2l6,0.61,0.63,8.97,6.41,8.69,0.23,0.11,-3.330607532,-4.4772879357,0.0994001933,0.0448954193,1.86153380533068E-05
ENSMUSG00000069248.11,Serpinb6e,1.84,2.41,47.01,30.43,50.99,1.3,1.25,-4.1350963657,-4.5375455769,0.0569130629,0.0430588746,6.68393394343612E-05
ENSMUSG00000069301.5,Hist1h2ag,8.73,8.91,17.35,23.23,19.04,0.84,6.76,-1.0427804365,-1.9332582791,0.4853911008,0.2618371521,0.01049941
ENSMUSG00000069309.2,Hist1h2an,3.01,7.9,20.71,17.29,16.58,8.78,4.49,-1.5967516315,-1.0189316314,0.3306205647,0.4934816583,0.0084106037
ENSMUSG00000069763.3,Tmem100,2.57,2.08,7.23,8.47,7.71,2.68,2.91,-1.5767849879,-1.0294279555,0.3352281049,0.4899043628,0.0277206139
ENSMUSG00000069862.6,Rps12-ps9,4.24,3.76,12.01,10.74,13.99,3.91,1.05,-1.4668744713,-1.8365850462,0.3617651973,0.2799837406,0.002933067
ENSMUSG00000069920.10,B3gnt9,1.92,2.51,9.44,8.32,6.29,1.28,1.3,-1.6811896711,-2.124536313,0.3118253946,0.2293247047,0.0025555026
ENSMUSG00000070419.11,Cyp3a57,1.91,1.83,7.3,6.72,6.89,0.36,0.41,-1.7129313294,-3.4397713152,0.3050396467,0.0921564328,0.0006067392
ENSMUSG00000070436.11,Serpinh1,66.64,64.4,188.5,163.24,159.92,52.8,52.34,-1.2596132215,-1.2709612815,0.4176559159,0.4143835732,2.34785806997556E-06
ENSMUSG00000070609.3,Gm13177,3.86,4.83,52.08,31.74,46.91,0.25,0.24,-3.1707734227,-6.5484948159,0.111045788,0.0106833298,4.16676357771378E-05
ENSMUSG00000071005.7,Ccl19,11.16,13.17,37.42,28.74,25.66,11.55,10.71,-1.2038466719,-1.0274743936,0.4341162488,0.4905681945,0.0008430304
ENSMUSG00000074489.9,Bglap3,20.52,24.06,60.42,44.37,55.08,12.77,11.13,-1.134618162,-1.7235803296,0.4554554462,0.3027963396,0.0002401107
ENSMUSG00000075014.1,Gm10800,130.74,86.76,211.36,770.71,236.68,134.29,134.49,-1.7738075862,-1.157137389,0.2924359159,0.4484013762,0.0480643656
ENSMUSG00000077222.1,Gm22270,0,0,8,12.72,13.18,3.74,4.57,-6.3711518947,-1.0007292377,0.012080702,0.4997473293,0.0005678944
ENSMUSG00000077563.1,Snora68,8.06,18.34,57.33,39.11,15.32,7.66,4.68,-1.368493817,-2.1495096651,0.3872953763,0.2253892066,0.0442595876
ENSMUSG00000078190.6,Dnm3os,0.84,0.68,3.17,4.18,3.39,0.22,0.32,-1.9486111035,-2.8926536414,0.2590655158,0.1346556209,0.0213203532
ENSMUSG00000078240.2,Gm3550,2.25,2.22,6.08,6.89,6.73,0.61,0.42,-1.3865159576,-3.0147287581,0.3824873773,0.1237303425,0.0028782541
ENSMUSG00000078504.2,Gm438,0.76,0.3,5.64,4.22,5.06,0.31,0,-2.8406468657,-3.8837370408,0.1395982861,0.0677452197,0.0005713761
ENSMUSG00000078636.3,Gm7336,0.92,0,11.83,18.05,9.31,0,0,-4.371902497,-6.5778467631,0.0482976734,0.0104681712,0.0008422384
ENSMUSG00000078686.11,Mup9,2.11,0,74.43,74.19,31.21,14.6,7.92,-5.5471687822,-1.9758820055,0.0213863074,0.2542144591,0.0011989317
ENSMUSG00000078706.4,Gm53,0,0.07,5.09,3.84,4.49,1,1.15,-4.7100911656,-1.5440213496,0.0382050944,0.3429282473,0.0014694435
ENSMUSG00000079013.2,Serpina3j,14.03,12.13,171.34,111.45,147.51,4.04,4.34,-3.3255031489,-4.6402001026,0.0997525029,0.0401014968,6.1413500300501E-06
ENSMUSG00000079049.8,Serpinb1c,1.16,0.32,5.95,4.5,4.81,0.2,0.25,-2.4722990265,-3.5689625973,0.1802037543,0.0842626678,0.0011231569
ENSMUSG00000079941.1,Gm11273,7.54,1.83,49.65,36.16,8.41,3.05,3.13,-2.5933458041,-2.8785962003,0.1657009979,0.1359741017,0.0274264901
ENSMUSG00000080875.4,Gm7332,0,2.67,12.59,8.93,8.95,0,0,-2.6970598495,-6.2191390039,0.1542069989,0.0134230934,0.0038703011
ENSMUSG00000081169.1,Gm12551,3.5,2.93,28.48,14.2,21.84,2.2,2.91,-2.5766748873,-2.6007442035,0.1676268446,0.1648534285,0.0007664288
ENSMUSG00000081225.3,Cyp2j12,2.37,2.64,10.49,8.36,9.21,0.53,0.36,-1.7318124297,-3.6896140512,0.3010734865,0.0775024619,3.53507752612142E-05
ENSMUSG00000082345.1,Gm13622,3.91,2.18,5.86,9.39,7.62,1.48,2.31,-1.1723299665,-1.532871087,0.4437041751,0.3455889306,0.0315348479
ENSMUSG00000082932.3,Cyp2j8,0.95,0.76,4.12,2.73,3.19,0.05,0.19,-1.7083672261,-3.5414688554,0.3060061968,0.0858838779,0.020095484
ENSMUSG00000086004.1,Gm7805,1.32,3.37,7.8,8.94,6.95,1.23,1.22,-1.5818717932,-2.1721086681,0.3340482039,0.2218861206,0.0031658749
ENSMUSG00000086399.1,Gm16144,0.33,1.25,2.51,4.27,2.39,0.1,0.38,-1.6817817641,-2.7947918399,0.3116974454,0.1441065844,0.0485538474
ENSMUSG00000087516.7,Tbx3os1,0,0.08,3.89,3.48,6.6,0.6,0.1,-4.7225772993,-2.9791789056,0.0378758664,0.126817091,0.0010857963
ENSMUSG00000087679.2,C330006A16Rik,132.01,135.37,333.37,293.05,276.9,107.03,108.18,-1.05003745,-1.0579011996,0.4829556276,0.4803303254,1.0086716511667E-05
ENSMUSG00000087993.1,Mir1982,0,0,60.52,108.47,41.03,30.41,0,-8.9855208195,-1.7686910017,0.0019728257,0.2934748947,0.0234568953
ENSMUSG00000090527.2,Gm5538,2.41,3.33,10.55,11.67,9.61,0.19,0.31,-1.7238220769,-4.5035855951,0.3027456054,0.0440844724,4.43805238454169E-06
ENSMUSG00000090996.1,Gm20458,1.66,0,2.95,2.89,3.95,0,0,-1.7106531443,-4.6214879781,0.3055217208,0.0406250112,0.0189994738
ENSMUSG00000091175.2,9130204L05Rik,1.12,0.59,5.42,4.72,2.65,0.43,0.53,-2.0452581371,-2.4916230156,0.2422791001,0.177806132,0.0150456554
ENSMUSG00000092405.1,Gm20402,0,0.06,1.97,5.3,2.44,0,0,-4.3048144528,-4.6101234325,0.0505966454,0.0409462905,0.0041084409
ENSMUSG00000094065.1,Gm21541,20.92,20.07,171.73,126.74,159.44,18.85,19.36,-2.7725620329,-2.5686485467,0.14634425,0.1685620247,3.77927332525024E-06
ENSMUSG00000094686.1,Ccl21a,45.09,46.6,372,293.13,275.33,51.06,47.56,-2.6487620813,-2.2388257743,0.1594568432,0.2118586921,1.00336906731905E-06
ENSMUSG00000094708.1,Gm10359,0.92,0,11.83,18.05,9.31,0,0,-4.371902497,-6.5778467631,0.0482976734,0.0104681712,0.0008422384
ENSMUSG00000095280.1,Gm21738,0,2.23,6.5,16.18,9.43,1.54,1.09,-3.0069233045,-2.5097107625,0.1244015784,0.1755908091,0.0100290617
ENSMUSG00000095690.1,Rab11b-ps2,0,0,29.28,8.98,5.17,0,1.77,-6.7244353618,-3.4616887721,0.0094567793,0.0907669712,0.0393910249
ENSMUSG00000095937.1,Gm12671,0.92,0,11.83,18.05,9.31,0,0,-4.371902497,-6.5778467631,0.0482976734,0.0104681712,0.0008422384
ENSMUSG00000096621.1,Gm5849,33.36,40.56,203.95,204.1,205.38,27.83,29.54,-2.3450912415,-2.4057863324,0.1968145465,0.188706192,2.11274890681311E-07
ENSMUSG00000096789.1,Gm10257,0.79,1.6,2.87,5.6,3,0.93,0,-1.4644923478,-2.3772911896,0.3623630237,0.1924704419,0.0488165052
ENSMUSG00000096984.1,Gm26523,0.99,1.41,5.13,5.07,5.09,0.71,0.89,-1.8611540079,-2.1104966726,0.2752560143,0.2315672807,0.015583499
ENSMUSG00000097961.1,Gm27000,0,0.53,4.14,4.8,4.41,0,0.28,-3.4294203349,-3.8143460781,0.0928200101,0.071083273,0.0006076918
ENSMUSG00000098950.7,Gm28036,0.13,0.9,2.73,2.34,2.15,0,0,-1.8677731957,-4.2028846384,0.2739960128,0.0543007284,0.0284650875
ENSMUSG00000100725.6,Gm28062,32.85,37.08,71.46,91.08,76.58,9.25,9.54,-1.0671161274,-2.6465580928,0.4772720883,0.1597006298,9.68806373611926E-06
ENSMUSG00000100862.1,Gm10925,2416.09,2055.16,4613.26,6299.27,3729.62,11.16,88.77,-1.0030690114,-6.1814332352,0.4989374922,0.0137785393,0.0012973476
ENSMUSG00000102724.1,Flg,6.63,10.64,22.42,22.17,12.62,2.37,0.41,-1.0135335838,-3.2603194057,0.4953315483,0.1043628819,0.0025446828
ENSMUSG00000102813.1,Gm37795,2.45,2.98,9.16,7.3,8,1.16,0.83,-1.4260692731,-2.491885578,0.3721434444,0.1777737752,0.0019430531
ENSMUSG00000103861.1,Gm37419,0.71,0.4,3.02,2.05,6.12,0.71,0.35,-2.3847141681,-2.1865923863,0.1914826831,0.2196696729,0.0216610761
ENSMUSG00000104671.1,Gm43062,5.19,5.32,10.71,13.98,10.49,2.19,2.02,-1.0218604095,-2.0009329876,0.49248087,0.2498383778,0.0018931429
ENSMUSG00000106795.1,Gm43050,0,0.98,3.97,5.36,6.1,0.14,1.69,-2.9784303096,-1.950362768,0.1268829119,0.2587511594,0.0117416253
ENSMUSG00000108456.1,RP24-143K11.2,1.16,1.26,4.52,5.57,3.65,0.73,0.57,-1.7003987291,-2.2226654471,0.3077010498,0.2142451652,0.0251853135
ENSMUSG00000108526.1,RP23-292C5.8,4.17,3.06,11.06,7.28,9.07,2.41,2.73,-1.1909179784,-1.3699450067,0.4380240598,0.3869059964,0.0227276423
ENSMUSG00000001508.15,Sgca,1.22,2.13,0.19,0.32,0.51,5.44,5.36,2.0326985601,3.949521351,4.0916948619,15.4498545487,0.0001182051
ENSMUSG00000005442.13,Cic,17.34,16.22,5.21,7.59,10.64,14.66,11.22,1.206728739,1.1388341132,2.3081368096,2.2020299835,0.0059350109
ENSMUSG00000005628.12,Tmod4,18.72,12.13,7.09,5.5,5.64,23.16,22.27,1.4417187272,2.3013573735,2.7164429103,4.9292131699,3.6865192810951E-05
ENSMUSG00000005716.16,Pvalb,35.24,39.72,7.63,7.35,10.08,380.87,377.52,2.2655876008,5.9049301058,4.8085022726,59.9185208948,6.1486099129147E-09
ENSMUSG00000006221.7,Hspb7,1.28,1.45,0.59,0.57,0.84,5.53,4.36,1.0092393352,3.0738634449,2.01284954,8.4202521995,0.0011705049
ENSMUSG00000006457.3,Actn3,9.43,10.63,3.06,2.9,2.48,89.86,96.33,1.9015978374,5.4057060982,3.7362677282,42.391587769,1.78039381914566E-09
ENSMUSG00000007122.11,Casq1,9.43,11.03,3.94,4.17,4.68,106.14,108.84,1.3531464199,5.0363274621,2.5546867818,32.8159993246,1.85874066710349E-09
ENSMUSG00000007411.15,Mark3,13.11,12.71,6.52,6.61,6.76,10.56,9.46,1.0643043236,1.0043210422,2.0911612656,2.0059992161,0.0182560779
ENSMUSG00000012123.15,Aim1l,30.51,32.92,13.43,11.17,16.12,37.62,45.65,1.3339974419,2.0306569957,2.521002313,4.0859087805,4.00392378105048E-05
ENSMUSG00000015944.9,Gatsl2,2.24,1.99,1.13,0.98,1.04,4.36,3.98,1.034720491,2.2714344958,2.0487166874,4.8280295155,0.0237383295
ENSMUSG00000017781.17,Pitpna,29.94,27.99,14,15.28,16.97,26.5,24.66,1.0216466974,1.1483074895,2.0302349552,2.2165370681,6.10888628963677E-05
ENSMUSG00000018893.14,Mb,7.91,6.14,2.46,3.29,1.19,34.61,33.54,1.6632500436,4.2263369815,3.1672923616,18.7177741708,6.92234691340553E-07
ENSMUSG00000019787.8,Trdn,1.36,2,0.57,0.67,0.76,11.81,11.2,1.285546332,4.2752104051,2.437743498,19.3627291155,4.26051295067981E-07
ENSMUSG00000020132.9,Rab21,14.32,15.78,7.13,10.14,6.4,11.8,14.38,1.0373729448,1.1416234306,2.0524868015,2.2062915231,0.0050708445
ENSMUSG00000020475.3,Pgam2,24.59,21.66,9.68,11.35,9.66,264.53,255.17,1.2834453937,5.0732059243,2.4341960946,33.6656618894,4.03933844113534E-10
ENSMUSG00000020722.5,Cacng1,1.19,1.24,0.39,0.59,0.53,7.12,6.77,1.1836400579,3.8826031273,2.271491738,14.7495918453,0.000005091
ENSMUSG00000021281.15,Tnfaip2,5.63,8.56,3.36,3.05,4.24,6.83,7.84,1.0880825639,1.4369338476,2.1259130089,2.7074484096,0.0253361121
ENSMUSG00000021622.3,Ckmt2,5.88,3.53,1.51,2.59,1.55,25.39,26.15,1.3757451255,4.102909512,2.595019043,17.1829937685,8.17377275605531E-07
ENSMUSG00000021798.13,Ldb3,3.36,3.9,1.65,2.04,1.47,27.91,27.13,1.1343292035,4.3188813263,2.1951647249,19.9578073875,2.87415629104095E-08
