Gene_ID,Gene_Name,CCT1,CCT2,VCT1,VCT2,VCT3,DCT1,DCT2,logFC.CCT,logFC.DCT,relative.CCT,relative.DCT,PValue
ENSMUSG00000079428.8,Tceal7,1.08,1.35,0.21,0,0.39,5.56,5.3,2.1073126718,4.457118491,4.3088792565,21.9647548287,3.13821045323403E-05
ENSMUSG00000080542.1,Gm22710,63.78,195.75,18.17,0,3.76,145.86,113.66,4.255539829,4.5505150172,19.1005176011,23.4337350803,0.0030401838
ENSMUSG00000081094.3,Rpl19-ps11,65.84,94.84,21.42,38.64,41.25,46.55,54.74,1.3663341611,1.0052049255,2.5781463494,2.0072285906,0.0074009272
ENSMUSG00000081946.1,Gm11472,39.11,35.29,21.07,14.56,18.85,29.57,28.09,1.1468618727,1.0858851968,2.2143171545,2.122677498,0.0002077664
ENSMUSG00000083911.1,Gm4342,0.16,0.73,0,0,0.05,2.41,0.91,2.0043481817,3.9339651217,4.0120739054,15.2841574707,0.0302941229
ENSMUSG00000084230.1,Gm14388,35.76,33.79,11.23,15.05,23.02,30.59,31.66,1.1926551924,1.3386289456,2.2857303104,2.5291085262,0.0027560956
ENSMUSG00000085023.1,Gm12744,366.12,349.12,96.21,113.1,105.47,315.08,302.21,1.8849435376,1.9790191985,3.693384693,3.9422498083,5.60594162629257E-07
ENSMUSG00000085348.1,Gm12300,0.77,2,0.18,0.35,1.5,7.09,6.44,1.0106308634,3.5002225948,2.0147919382,11.3154542366,0.0007149698
ENSMUSG00000085412.7,Halr1,2.4,3.04,0,0,0.53,1.49,2.07,3.2953461524,3.0051927345,9.8174350771,8.0288465172,0.0153475012
ENSMUSG00000085543.1,Gm13568,61.73,81.44,27.08,30.7,32.72,89.76,105.06,1.3625447464,2.1099579521,2.5713834188,4.3167871299,3.54606724638568E-05
ENSMUSG00000085645.1,Hoxb5os,1.88,3.31,0.86,0.67,0.72,4.44,3.94,1.7344060147,2.69799841,3.3274246921,6.4890100928,0.0089427819
ENSMUSG00000086298.1,Gm11716,1.6,0.62,0.32,0,0.8,7.73,2.81,1.3928210054,3.8178175086,2.6259164342,14.1018986164,0.0050710244
ENSMUSG00000086717.1,Gm15655,11.66,28.61,0,0,0,3.6,1.3,7.3148303251,4.6324360905,159.2147653283,24.8028859483,0.0073928391
ENSMUSG00000087593.1,Gm16174,0,1.33,0,0,0.25,1.77,2.18,1.9570989581,3.6546039482,3.8828042014,12.5934699633,0.0288363086
ENSMUSG00000088252.1,Snord13,340.74,676.22,124.4,114.57,146.02,292.64,251.21,2.1111546487,1.5025375752,4.3203693337,2.83340646,0.0011479006
ENSMUSG00000089718.1,2310075C17Rik,1.66,0.38,0,0,0,4.32,2.65,3.1720401123,5.1234260754,9.0132044254,34.8581977465,0.0044599639
ENSMUSG00000089995.1,Gm15716,13.46,11.21,0,1.85,1.54,4.4,1.44,3.4152093992,1.6781501554,10.6679376961,3.2001735693,0.0016830857
ENSMUSG00000090860.1,Gm17134,13.32,21.71,0,3.37,0.07,25.74,26.99,3.8981282206,4.7895807159,14.9091718737,27.6571523578,0.0004863742
ENSMUSG00000092395.1,Gm20463,21.33,17.27,4.43,8.68,7.94,11.47,22.39,1.5594871221,1.6762003909,2.9474904159,3.1958515399,0.0048937118
ENSMUSG00000092802.1,Gm26460,91.17,36.87,28.83,14.89,27.81,49.48,33.16,1.5345268286,1.2131004053,2.8969340243,2.3183532454,0.0308437726
ENSMUSG00000092916.1,Gm24082,66.87,38.33,19.64,0,0,14.27,35.61,3.0976121562,2.3305968427,8.5600080669,5.0301340333,0.0325115119
ENSMUSG00000093529.1,Gm25397,21.11,14.99,20.59,0,0,45.37,43.86,1.4950780818,3.1004227967,2.8187940654,8.5767008227,0.0219357827
ENSMUSG00000093798.1,Gm8355,25.95,21.3,2.05,0,0,52.29,43.65,4.9720688114,6.2958501645,31.3864251132,78.5669235404,1.46312904659192E-05
ENSMUSG00000093815.1,Gm26444,2.37,2.14,0,0,0.27,0.37,0.55,3.5025690194,1.7277057489,11.3338728642,3.3120070618,0.028909823
ENSMUSG00000094826.1,Gm23804,2.37,2.14,0,0,0.27,0.37,0.55,3.5025690194,1.7277057489,11.3338728642,3.3120070618,0.028909823
ENSMUSG00000094945.3,Rhox4a2,4.51,4.46,0.23,0,0.26,0.76,0.33,4.0536656671,1.5285503559,16.6063794884,2.88495808,0.000508428
ENSMUSG00000095969.1,Rnu1a1,2.37,2.14,0,0,0.27,0.37,0.55,3.5025690194,1.7277057489,11.3338728642,3.3120070618,0.028909823
ENSMUSG00000096205.1,Gm22068,2.37,2.14,0,0,0.27,0.37,0.55,3.5025690194,1.7277057489,11.3338728642,3.3120070618,0.028909823
ENSMUSG00000096206.1,Gm22317,2.37,2.14,0,0,0.27,0.37,0.55,3.5025690194,1.7277057489,11.3338728642,3.3120070618,0.028909823
ENSMUSG00000096214.1,Gm22634,2.37,2.14,0,0,0.27,0.37,0.55,3.5025690194,1.7277057489,11.3338728642,3.3120070618,0.028909823
ENSMUSG00000096243.1,Gm24265,8.76,14.17,3.26,0,3.27,6.16,5.01,2.4427409623,1.7219228712,5.4367367072,3.2987578329,0.0164593935
ENSMUSG00000096534.2,Krtap16-3,136.25,135.9,36,72.77,24.66,2992.83,2961.5,1.7415764417,6.497405213,3.3440036954,90.3470263879,4.50275910375435E-06
ENSMUSG00000096659.1,Gm25679,2.37,2.14,0,0,0.27,0.37,0.55,3.5025690194,1.7277057489,11.3338728642,3.3120070618,0.028909823
ENSMUSG00000096674.1,Mup15,0.66,0,0,0,0,4.19,7.24,1.8449909685,5.8207762121,3.5925070017,56.5233948198,0.002123575
