LC_Up_Regulated_Genes,,DCT1,DCT2,DCT3,ERST2,ERST3,LC1,LC2,LC3,DCT-average,ERST-average,LC-average
Cd34,LC_ERST_UP,37.65,35.33,31.86,111.11,112.05,35.74,39.2,36.28,34.94666667,111.58,37.07333333
Aim1l,DCT_ERST_DCT_UP,37.62,45.65,25.47,13.65,16.52,1.27,0.73,0.67,36.24666667,15.085,0.89
Csrp2,DCT_ERST_DCT_UP,37.59,37.95,41.68,11.27,9.49,8.84,9.98,9.36,39.07333333,10.38,9.393333333
Ltbp4,LC_DCT_LC_UP,37.57,33.66,34.87,48.34,44.72,197.89,220.91,190.86,35.36666667,46.53,203.22
Postn,LC_ERST_UP,37.45,33.48,23.98,304.13,327.19,8.36,9.27,9.86,31.63666667,315.66,9.163333333
Aldh1a3,DCT_ERST_DCT_UP,37.2,35.29,32.99,4.37,4.62,3.1,0.97,1.75,35.16,4.495,1.94
Krt36,DCT_ERST_DCT_UP,37,34.12,38.16,0.39,0.33,0,0,0,36.42666667,0.36,0
Fgf22,DCT_ERST_DCT_UP,36.95,41.26,40.03,14.64,13.92,1.09,0,1.9,39.41333333,14.28,0.996666667
Timmdc1,DCT_ERST_DCT_UP,36.95,35.96,39.46,15.82,16,10.13,8.64,9.68,37.45666667,15.91,9.483333333
Lce1b,LC_ERST_UP,36.92,42.35,24.57,413.18,420.89,0,0,0,34.61333333,417.035,0
Capn12,DCT_ERST_DCT_UP,36.79,36.8,32.75,1.7,1.53,0.33,0.23,0.27,35.44666667,1.615,0.276666667
Pnpla2,LC_DCT_LC_UP,36.39,36.87,22.86,44.36,37.46,131.38,152.16,126.1,32.04,40.91,136.5466667
Ninj1,LC_DCT_LC_UP,36.38,35.31,23.88,74.73,67.31,247.65,298.39,231.58,31.85666667,71.02,259.2066667
Lce1f,LC_ERST_UP,36.31,31.33,21.38,673.98,685.81,0,0,0,29.67333333,679.895,0
Gabarapl1,LC_DCT_LC_UP,36.25,34.28,38.18,39.82,42.77,103.48,105.2,101.85,36.23666667,41.295,103.51
Krt39,DCT_ERST_DCT_UP,36.2,36.43,33.29,0.28,0.34,0,0,0,35.30666667,0.31,0
Gm14182,DCT_ERST_DCT_UP,36.18,38.63,18.92,0,0,0,0,0,31.24333333,0,0
Pmm1,LC_DCT_LC_UP,36.06,31.09,28.42,40.82,37.48,96.96,115.13,98.32,31.85666667,39.15,103.47
Pam,LC_DCT_LC_UP,35.97,34.36,39.15,93.49,98.93,1009.91,951.06,983.55,36.49333333,96.21,981.5066667
Des,LC_DCT_LC_UP,35.94,32.54,18.96,11.84,11.01,279.46,326.35,268.28,29.14666667,11.425,291.3633333
Ggt1,DCT_ERST_DCT_UP,35.83,43.58,47.98,0.39,0.4,1.32,0.78,1.48,42.46333333,0.395,1.193333333
Parvb,DCT_ERST_DCT_UP,35.72,49.95,26.38,3.49,3.48,7.75,6.99,6.06,37.35,3.485,6.933333333
Mbp,LC_ERST_UP,35.65,35.32,22.39,172.01,146.4,11.16,12.85,14.65,31.12,159.205,12.88666667
Noct,DCT_ERST_DCT_UP,35.45,35.38,35.41,13.47,11.81,12.7,11.84,12.85,35.41333333,12.64,12.46333333
Fos,LC_DCT_LC_UP,35.45,36.48,33.95,23.29,22.98,3648.3,4254.21,3664.69,35.29333333,23.135,3855.733333
Vdr,DCT_ERST_DCT_UP,35.4,34.94,35.91,11.39,11.15,0.45,0.65,0.32,35.41666667,11.27,0.473333333
Gm10116,DCT_ERST_DCT_UP,35.39,36.13,30.04,1.2,0.58,1.15,1.29,1.11,33.85333333,0.89,1.183333333
Tcp11l2,DCT_ERST_DCT_UP,35.37,35.18,31.39,16.11,14.3,13.63,14.38,11.99,33.98,15.205,13.33333333
Gm42887,DCT_ERST_DCT_UP,35.3,29.74,25.64,7.12,6.82,12.6,13.37,13.27,30.22666667,6.97,13.08
Pola1,DCT_ERST_DCT_UP,35.24,34.99,29.72,4.6,4.77,12.88,5.36,10.24,33.31666667,4.685,9.493333333
Klk8,LC_ERST_UP,35.18,36.69,35.22,154.58,143.85,8.58,7.67,7.91,35.69666667,149.215,8.053333333
Rhoc,LC_DCT_LC_UP,35.15,35.14,21.21,49.21,45.91,116.24,133.53,110.2,30.5,47.56,119.99
Rbp4,LC_DCT_LC_UP,35.13,33,14.82,33.9,35.42,370.21,414.62,376.63,27.65,34.66,387.1533333
Nrtn,LC_ERST_UP,35.12,31.41,24.06,248.1,168.23,4.55,6.29,3.2,30.19666667,208.165,4.68
Dynlt1a,DCT_ERST_DCT_UP,34.77,31.48,31.13,12.26,19.98,0.84,3.46,0,32.46,16.12,1.433333333
Fam49a,DCT_ERST_DCT_UP,34.72,33.56,43.93,3.47,3.15,1.64,1.36,1.77,37.40333333,3.31,1.59
Crot,DCT_ERST_DCT_UP,34.61,35.55,45.77,12.73,12.84,12.82,13.67,12.79,38.64333333,12.785,13.09333333
Mb,LC_DCT_LC_UP,34.61,33.54,22.71,37.76,30.85,2946.29,3325.62,2846,30.28666667,34.305,3039.303333
Timeless,DCT_ERST_DCT_UP,34.26,44.09,27.74,16.28,19.34,14.69,14.82,14.46,35.36333333,17.81,14.65666667
Pitrm1,DCT_ERST_DCT_UP,34.15,33.52,51.1,9.7,9.79,8.43,8.88,7.42,39.59,9.745,8.243333333
Fam83c,DCT_ERST_DCT_UP,33.94,30.72,42.3,9.09,7.8,0.03,0,0,35.65333333,8.445,0.01
Nmrk1,DCT_ERST_DCT_UP,33.71,41.69,30.98,13.44,15.83,20.28,16.45,17.19,35.46,14.635,17.97333333
Foxn1,DCT_ERST_DCT_UP,33.67,34.64,29.72,5.86,5.82,0,0,0,32.67666667,5.84,0
Hilpda,LC_ERST_UP,33.4,37.32,35.69,133,122.22,20.19,22.95,18.38,35.47,127.61,20.50666667
Lef1,DCT_ERST_DCT_UP,33.31,30.75,44.08,1.26,1.63,6.41,6.71,6.86,36.04666667,1.445,6.66
Plk2,DCT_ERST_DCT_UP,33.28,31.79,44.56,18.75,20.41,13.5,13.02,14.25,36.54333333,19.58,13.59
Carnmt1,DCT_ERST_DCT_UP,33.28,33.5,35.53,11.99,10.99,9.43,6.85,9.28,34.10333333,11.49,8.52
Krtap29-1,DCT_ERST_DCT_UP,33.25,34.87,28.77,0.29,0,0,0,0,32.29666667,0.145,0
Jun,LC_DCT_LC_UP,32.68,32.87,39.3,23.38,19.59,681.55,801.94,681.9,34.95,21.485,721.7966667
Gm16702,DCT_ERST_DCT_UP,32.41,31.97,31.74,6.45,9.83,8.79,6.15,9.01,32.04,8.14,7.983333333
Slc35f6,DCT_ERST_DCT_UP,32.26,32.6,42.08,22.73,15.25,12.34,12.94,9.6,35.64666667,18.99,11.62666667
Ethe1,DCT_ERST_DCT_UP,32.16,29.92,26.67,13.13,14.66,11.48,12.96,11.18,29.58333333,13.895,11.87333333
2810004N23Rik,DCT_ERST_DCT_UP,32.12,32.37,37.35,16.97,18.41,15.98,14.85,15.01,33.94666667,17.69,15.28
Mrps6,LC_DCT_LC_UP,32.08,34.62,23.83,27.8,26.59,93.96,105.36,101.61,30.17666667,27.195,100.31
Pola2,DCT_ERST_DCT_UP,32.06,29.65,30.37,9.31,9.7,8.56,9.44,8.65,30.69333333,9.505,8.883333333
Lpin3,DCT_ERST_DCT_UP,31.76,31.99,32.56,10.44,9.69,8.86,10.76,7.89,32.10333333,10.065,9.17
Slc27a4,LC_ERST_UP,31.73,32.6,24.62,150.83,134.91,5.07,6.04,4.58,29.65,142.87,5.23
Acat2,LC_ERST_UP,31.67,31.66,50.18,135.59,141.08,16.52,14.79,14.81,37.83666667,138.335,15.37333333
Dkkl1,LC_ERST_UP,31.62,33.43,31.94,214.12,209.33,0,0,0,32.33,211.725,0
Rpl35a-ps6,LC_DCT_LC_UP,31.48,29.88,4.6,30.04,18.18,89.36,96.93,93.93,21.98666667,24.11,93.40666667
Rpl35a-ps4,LC_DCT_LC_UP,31.48,29.88,4.6,30.04,18.18,89.36,96.93,93.93,21.98666667,24.11,93.40666667
Rpl35a-ps3,LC_DCT_LC_UP,31.48,29.88,4.6,30.04,18.18,89.36,96.93,93.93,21.98666667,24.11,93.40666667
Rpl35a-ps2,LC_DCT_LC_UP,31.48,29.88,4.6,30.04,18.18,89.36,96.93,93.93,21.98666667,24.11,93.40666667
Gm10243,LC_DCT_LC_UP,31.48,29.88,4.6,30.04,18.18,89.36,96.93,93.93,21.98666667,24.11,93.40666667
Hal,LC_ERST_UP,31.31,30.37,32.81,381.23,364.68,4.18,6.39,4.39,31.49666667,372.955,4.986666667
Jund,LC_DCT_LC_UP,31.16,27.42,35.33,27.47,27.74,132.24,161.37,136.39,31.30333333,27.605,143.3333333
Fn1,LC_DCT_LC_UP,30.84,34.74,25.61,81.62,79.43,191.12,203.28,186.12,30.39666667,80.525,193.5066667
Emc9,LC_ERST_UP,30.75,29.22,24.66,135.95,149.06,39.78,38.13,33.9,28.21,142.505,37.27
Ifitm6,DCT_ERST_DCT_UP,30.71,26.78,34.83,13.26,12.42,0.47,0,1.08,30.77333333,12.84,0.516666667
Gm4617,LC_DCT_LC_UP,30.57,13.18,65.84,76.95,146.66,360.78,426.89,311.19,36.53,111.805,366.2866667
Ephb3,DCT_ERST_DCT_UP,30.51,29.8,28.06,12.8,9.97,8.35,9.06,7.28,29.45666667,11.385,8.23
Dsc2,DCT_ERST_DCT_UP,30.11,29.36,23.7,1.5,1.69,0.25,0.3,0.24,27.72333333,1.595,0.263333333
Cldn3,DCT_ERST_DCT_UP,30.02,32.94,27.93,7.58,5.3,0.39,0.55,0.18,30.29666667,6.44,0.373333333
Parp1,DCT_ERST_DCT_UP,29.91,34.36,37.04,13.76,17.23,10.36,12.37,11.34,33.77,15.495,11.35666667
Them5,LC_ERST_UP,29.74,27.56,42.43,357.65,385.18,0.23,0.14,0.18,33.24333333,371.415,0.183333333
Ctns,DCT_ERST_DCT_UP,29.7,26.86,36.69,11.16,10.14,7.67,8.54,8.36,31.08333333,10.65,8.19
Fads3,DCT_ERST_DCT_UP,29.58,30.24,31.18,5.82,5.4,8.66,8.68,7.76,30.33333333,5.61,8.366666667
Pnrc1,LC_DCT_LC_UP,29.58,31.74,28.85,52.89,41.1,136.8,133.87,135.43,30.05666667,46.995,135.3666667
Igfbp3,LC_ERST_UP,29.54,25.76,25.45,106.43,94.61,5.37,5.66,5.42,26.91666667,100.52,5.483333333
2810403D21Rik,DCT_ERST_DCT_UP,29.53,32.2,33.14,12.84,17.4,14.06,10.34,10.83,31.62333333,15.12,11.74333333
Maged1,LC_DCT_LC_UP,29.47,28.5,28.29,45.57,47.17,100.12,116.04,96.6,28.75333333,46.37,104.2533333
Crtap,LC_DCT_LC_UP,29.47,26.86,19.31,73.17,58.43,151.86,163.8,140.31,25.21333333,65.8,151.99
Sgk3,DCT_ERST_DCT_UP,29.43,27.37,38.7,9.99,9.46,8,7.7,7.09,31.83333333,9.725,7.596666667
Rnf222,DCT_ERST_DCT_UP,29.38,28.18,26.95,4.93,4.98,0,0,0,28.17,4.955,0
Csrp3,LC_DCT_LC_UP,29.23,29.58,16.36,11.21,12.14,550.95,640.94,558.06,25.05666667,11.675,583.3166667
Cox4i2,LC_DCT_LC_UP,29,33.19,20.54,12.18,12.34,79.7,84.29,74.83,27.57666667,12.26,79.60666667
Nrep,LC_DCT_LC_UP,28.98,25.99,26.15,33.62,35.13,92.33,86.74,95.52,27.04,34.375,91.53
Gm26318,LC_DCT_LC_UP,28.97,0,22.82,43.37,0,363.88,383.75,408.86,17.26333333,21.685,385.4966667
Mafb,LC_DCT_LC_UP,28.93,28.88,26.4,32.73,28.72,95.17,109.24,92.81,28.07,30.725,99.07333333
Pfkm,LC_DCT_LC_UP,28.81,26.09,21.87,16.26,16.14,148.72,162.2,144.46,25.59,16.2,151.7933333
Gmeb1,DCT_ERST_DCT_UP,28.78,30.65,23.63,8.86,7.89,5.11,5.88,5.13,27.68666667,8.375,5.373333333
Neu2,DCT_ERST_DCT_UP,28.55,29.01,22.76,4.81,3.55,4.97,4.35,4.18,26.77333333,4.18,4.5
Ctss,LC_ERST_UP,28.45,28.44,14.19,144.54,147.47,22.16,18.13,19.85,23.69333333,146.005,20.04666667
Il1r2,LC_ERST_UP,28.39,27.29,31.18,159.34,146.97,1.74,3.08,1.86,28.95333333,153.155,2.226666667
Pde4dip,LC_DCT_LC_UP,28.29,32.03,18.64,17.76,16.73,204.78,158.49,199.3,26.32,17.245,187.5233333
Sun2,DCT_ERST_DCT_UP,28.28,30.06,22.05,14.95,11.46,8.92,9.83,8.57,26.79666667,13.205,9.106666667
Cep57,LC_DCT_LC_UP,28.27,31.2,52.92,31.55,41.85,174.54,107.37,163.9,37.46333333,36.7,148.6033333
Tnks2,DCT_ERST_DCT_UP,28.26,26.73,32.26,10.85,17.39,14.69,11.59,15.55,29.08333333,14.12,13.94333333
Klf6,LC_DCT_LC_UP,28.16,26.45,35.62,43.82,46.5,104.45,104.71,106.24,30.07666667,45.16,105.1333333
Topbp1,DCT_ERST_DCT_UP,28.11,27.69,28.2,12.26,13.54,10.86,9.15,11.47,28,12.9,10.49333333
Agpat4,LC_ERST_UP,28.08,26.82,30.12,99.41,95.92,16.25,15.89,16.03,28.34,97.665,16.05666667
Ppip5k1,DCT_ERST_DCT_UP,28.06,28.86,28.4,6.36,6.82,12.55,14.22,13.89,28.44,6.59,13.55333333
Wdr12,DCT_ERST_DCT_UP,27.92,29.59,34.19,13.85,15.09,8.28,9.04,6.73,30.56666667,14.47,8.016666667
Ldb3,LC_DCT_LC_UP,27.91,27.13,18.26,8.09,7.02,105.26,108.48,100.28,24.43333333,7.555,104.6733333
Gm22460,LC_DCT_LC_UP,27.79,92,85.19,134.12,152.13,301.5,375.92,356.39,68.32666667,143.125,344.6033333
Cd99l2,DCT_ERST_DCT_UP,27.74,28.96,27.85,12.05,12.44,11.08,10.82,11.03,28.18333333,12.245,10.97666667
Stox1,DCT_ERST_DCT_UP,27.72,27.21,28.51,0.25,0.13,0.2,0.13,0.29,27.81333333,0.19,0.206666667
Gm10153,DCT_ERST_DCT_UP,27.71,22.71,17.11,0.77,0,0,0,0,22.51,0.385,0
Arhgef1,LC_DCT_LC_UP,27.64,26.56,26.69,47.22,40.48,96.73,113.43,99.6,26.96333333,43.85,103.2533333
Cers4,LC_ERST_UP,27.48,28.67,31.87,343.24,329.68,8.31,11.88,9.8,29.34,336.46,9.996666667
Madd,DCT_ERST_DCT_UP,27.37,25.62,26.93,11.43,13.27,16.63,9.3,11.09,26.64,12.35,12.34
Zan,DCT_ERST_DCT_UP,27.29,27.49,26.09,2.71,2.61,1.89,1.35,1.78,26.95666667,2.66,1.673333333
Myo6,DCT_ERST_DCT_UP,27.25,24.87,27.51,12.81,12.77,11.75,10.78,10.64,26.54333333,12.79,11.05666667
C4b,LC_DCT_LC_UP,27.19,28.94,11.61,21.66,22.75,199.55,210.62,197.25,22.58,22.205,202.4733333
Glul,LC_DCT_LC_UP,27.11,28.85,27.94,31.48,32.43,94.88,79.21,77.43,27.96666667,31.955,83.84
Myo10,DCT_ERST_DCT_UP,27,28.69,24.51,11.35,11.9,9.89,8.59,12.32,26.73333333,11.625,10.26666667
Dok4,DCT_ERST_DCT_UP,26.97,27.23,30.38,14.21,10.43,3.45,4.1,3.43,28.19333333,12.32,3.66
Tgfa,DCT_ERST_DCT_UP,26.97,28,28.32,5.87,5.06,2.94,2.97,2.86,27.76333333,5.465,2.923333333
Rtn2,LC_DCT_LC_UP,26.86,25.96,14.06,15.97,14.04,99.59,108.52,98.06,22.29333333,15.005,102.0566667
Msx1,LC_DCT_LC_UP,26.68,24.68,41.68,13.86,12.91,134.99,147.23,135.47,31.01333333,13.385,139.23
Gm4245,LC_ERST_UP,26.68,12.07,20.33,83.82,76.79,11.08,28.69,14.33,19.69333333,80.305,18.03333333
Sdr16c6,LC_ERST_UP,26.55,28.9,34.79,628.36,544.55,0,0,0,30.08,586.455,0
Arhgef4,DCT_ERST_DCT_UP,26.54,26.22,21.18,9.89,8.78,3.39,3.28,3.31,24.64666667,9.335,3.326666667
2700097O09Rik,DCT_ERST_DCT_UP,26.49,25.44,24.85,8.9,8.05,5.45,5.93,6.29,25.59333333,8.475,5.89
Tmprss11e,DCT_ERST_DCT_UP,26.48,25.74,35.09,6.48,6.51,0,0,0,29.10333333,6.495,0
Gm43138,DCT_ERST_DCT_UP,26.45,29.39,16.91,4.59,5.44,5.67,2.81,6.59,24.25,5.015,5.023333333
Bhlha9,DCT_ERST_DCT_UP,26.37,26.44,19.53,0.5,1.08,0,0,0,24.11333333,0.79,0
Tgfbi,LC_ERST_UP,26.32,29.74,21.92,167.02,150.88,22.46,28.42,20.74,25.99333333,158.95,23.87333333
Gm15879,DCT_ERST_DCT_UP,26.29,22.71,27.11,3.79,4.5,6.36,3.47,8.36,25.37,4.145,6.063333333
Eif1b,LC_DCT_LC_UP,26.2,24.88,25.52,35.23,34.93,86.47,85.13,87.55,25.53333333,35.08,86.38333333
Lrp1,LC_DCT_LC_UP,26.17,23.33,19.04,60.79,60.2,155.01,161.62,160.99,22.84666667,60.495,159.2066667
Mcpt4,LC_ERST_UP,26.1,30.15,13.45,143.9,132.73,2.37,3.19,2.97,23.23333333,138.315,2.843333333
Abhd2,DCT_ERST_DCT_UP,26.03,27.08,30.45,12.03,14.4,5.06,3.85,4.74,27.85333333,13.215,4.55
Cdc42ep3,LC_DCT_LC_UP,26.01,24.42,26.16,9.99,11.51,102.35,103.82,110.03,25.53,10.75,105.4
Nfil3,DCT_ERST_DCT_UP,25.85,25.65,32.87,3.01,2.56,13.13,13.41,13.95,28.12333333,2.785,13.49666667
Slc25a37,DCT_ERST_DCT_UP,25.82,26.42,22,3.58,3.77,2,1.88,2.45,24.74666667,3.675,2.11
Ephx1,LC_DCT_LC_UP,25.76,28.09,24.44,32.16,33.68,108,122.57,107.28,26.09666667,32.92,112.6166667
Tcf4,LC_DCT_LC_UP,25.7,21.94,31.28,59.38,58.96,153.47,174.71,158.54,26.30666667,59.17,162.24
Padi1,DCT_ERST_DCT_UP,25.67,26.84,21.59,0.2,0.33,0.06,0.16,0.09,24.7,0.265,0.103333333
Anxa6,LC_DCT_LC_UP,25.52,26.53,20.84,44.02,40.68,112.71,131.28,108.54,24.29666667,42.35,117.51
Ckmt2,LC_DCT_LC_UP,25.39,26.15,35.67,19.39,17.04,270.02,310.6,258.97,29.07,18.215,279.8633333
Calm5,LC_ERST_UP,25.25,24.93,25.8,437.27,365.78,0,0,0,25.32666667,401.525,0
Otub2,DCT_ERST_DCT_UP,25.16,25.67,27.52,9.59,8.67,1.81,2.85,1.64,26.11666667,9.13,2.1
Elovl5,LC_ERST_UP,25.11,25.88,30.01,102.08,101.86,15.26,16.17,13.73,27,101.97,15.05333333
Pbld2,DCT_ERST_DCT_UP,25,26.45,17.52,2.73,3.53,9.21,6.92,9.72,22.99,3.13,8.616666667
Lzts1,DCT_ERST_DCT_UP,24.89,23.58,36.74,4.53,4.74,2.12,2.32,2.54,28.40333333,4.635,2.326666667
Gm17494,DCT_ERST_DCT_UP,24.77,25.98,21.98,2.82,3.09,2.85,1.61,2.75,24.24333333,2.955,2.403333333
Mcl1,LC_DCT_LC_UP,24.72,24.75,20.95,25.52,27.02,85.16,76.19,84.45,23.47333333,26.27,81.93333333
Slc39a10,DCT_ERST_DCT_UP,24.7,22.45,36.11,4.28,4.43,2.94,2.83,2.44,27.75333333,4.355,2.736666667
Kdm5c,DCT_ERST_DCT_UP,24.66,24.21,22.75,5.67,5.33,11.63,10.33,13.51,23.87333333,5.5,11.82333333
Aqp1,LC_DCT_LC_UP,24.55,27.1,21.55,48.73,41.17,353.34,397.2,337.21,24.4,44.95,362.5833333
Bmp4,DCT_ERST_DCT_UP,24.51,25.13,33.02,11.25,11.34,6.99,7.06,8.55,27.55333333,11.295,7.533333333
Slc1a5,LC_DCT_LC_UP,24.51,23.44,12.99,31.61,28.88,118.58,134.34,127.19,20.31333333,30.245,126.7033333
Btbd19,DCT_ERST_DCT_UP,24.44,27.65,29.05,11.71,13.95,6.91,5.22,6.97,27.04666667,12.83,6.366666667
Cracr2b,LC_DCT_LC_UP,24.37,21.39,18.59,43.03,37.54,148.15,150.72,149.6,21.45,40.285,149.49
Serpina1e,DCT_ERST_DCT_UP,24.3,26.32,23.95,0.47,0.2,0.72,1.51,0.8,24.85666667,0.335,1.01
Gprc5a,DCT_ERST_DCT_UP,24.25,23.67,21.05,0.18,0.23,1,1.15,0.91,22.99,0.205,1.02
Ahcy,DCT_ERST_DCT_UP,24.15,23.11,21.42,12,10.9,4.37,8.5,5.37,22.89333333,11.45,6.08
Atp12a,DCT_ERST_DCT_UP,24.15,24.51,15.94,2.89,2.88,0,0,0,21.53333333,2.885,0
Rbp1,DCT_ERST_DCT_UP,24.14,25.22,21.88,6.8,8.35,6.2,7,6.57,23.74666667,7.575,6.59
Laptm4b,LC_ERST_UP,24.1,22.49,28.97,82.38,79.99,15.91,18.47,16.68,25.18666667,81.185,17.02
Nfe2l3,DCT_ERST_DCT_UP,23.91,24.95,31.55,10.8,10.78,0.34,0.89,0.3,26.80333333,10.79,0.51
Art3,LC_DCT_LC_UP,23.89,26.15,24.54,37.42,33.86,102.46,106.98,99.15,24.86,35.64,102.8633333
Saa3,DCT_ERST_DCT_UP,23.88,27.53,18.73,0.95,1.42,0,0.95,0.56,23.38,1.185,0.503333333
Il18,LC_ERST_UP,23.84,27.37,28.32,104.83,99.5,12.86,14.21,15.97,26.51,102.165,14.34666667
Pmepa1,DCT_ERST_DCT_UP,23.83,24.05,15.37,5.06,4.86,10.59,8.93,8.64,21.08333333,4.96,9.386666667
Grb7,DCT_ERST_DCT_UP,23.8,22.94,28.38,12.46,12.27,5.3,5.07,4.75,25.04,12.365,5.04
Atp2c2,DCT_ERST_DCT_UP,23.73,22.47,26.22,4.97,4.71,0.05,0.1,0.09,24.14,4.84,0.08
Gm27826,LC_DCT_LC_UP,23.51,26.78,46.92,38.31,53.07,356.71,282.86,370.05,32.40333333,45.69,336.54
Cidea,LC_ERST_UP,23.33,25.5,22.13,381.92,345.79,70.52,78.79,69.37,23.65333333,363.855,72.89333333
Them4,DCT_ERST_DCT_UP,23.32,24.02,28.68,9.93,10.75,5.89,4.5,6.42,25.34,10.34,5.603333333
Shb,DCT_ERST_DCT_UP,23.22,23.01,20.67,5.29,5.7,5.2,6.43,5.91,22.3,5.495,5.846666667
Dusp1,LC_DCT_LC_UP,23.21,22.64,25.51,65.68,61.21,693.73,779.32,665.64,23.78666667,63.445,712.8966667
AU018091,DCT_ERST_DCT_UP,23.19,21.96,24,0.43,0.34,0.04,0,0.04,23.05,0.385,0.026666667
Tmod4,LC_DCT_LC_UP,23.16,22.27,12.99,11.96,12.83,61.41,69.17,59.02,19.47333333,12.395,63.2
Vamp5,LC_DCT_LC_UP,22.97,22.38,14.05,30.41,27.65,73.15,95.5,75.65,19.8,29.03,81.43333333
Gm16754,DCT_ERST_DCT_UP,22.96,18.55,29.5,4.04,5.08,13.23,9,12.59,23.67,4.56,11.60666667
Cyp51,LC_ERST_UP,22.92,20.72,29.02,78.64,78.71,4.93,4.94,4.39,24.22,78.675,4.753333333
Lrrc28,LC_ERST_UP,22.75,23.84,28.14,95.99,97.07,10.24,9.98,10.07,24.91,96.53,10.09666667
Adssl1,LC_DCT_LC_UP,22.7,20.81,15.32,10.43,10.06,68.43,82.98,71.4,19.61,10.245,74.27
Tpsb2,LC_ERST_UP,22.65,23.92,11.94,100.57,97.95,4.07,5.03,3.84,19.50333333,99.26,4.313333333
Col17a1,LC_ERST_UP,22.58,21.79,23.57,140.23,117.28,0.27,0.05,0.56,22.64666667,128.755,0.293333333
Tgm6,DCT_ERST_DCT_UP,22.58,22.27,23.18,0.11,0.07,0,0,0,22.67666667,0.09,0
Rbm4,DCT_ERST_DCT_UP,22.58,25.25,22.94,10.66,9.33,5.65,5.1,6.23,23.59,9.995,5.66
Slc45a3,DCT_ERST_DCT_UP,22.51,22.31,28.05,9.92,8.91,1.61,1.91,1.86,24.29,9.415,1.793333333
Krt1,LC_ERST_UP,22.48,22.84,28.53,112.37,108.23,0.26,0.26,0.34,24.61666667,110.3,0.286666667
Pdzrn3,DCT_ERST_DCT_UP,22.47,21.58,24.25,3.14,2.55,11.01,11.92,10.53,22.76666667,2.845,11.15333333
Zdhhc5,DCT_ERST_DCT_UP,22.46,21.69,18.96,7.61,6.42,5.84,5.63,6.74,21.03666667,7.015,6.07
Idh2,LC_DCT_LC_UP,22.43,21.31,15.71,70.19,63.72,209.22,222.44,192.93,19.81666667,66.955,208.1966667
Ptcra,DCT_ERST_DCT_UP,22.4,22.94,21.34,0.91,0.68,1.18,0.89,0.49,22.22666667,0.795,0.853333333
G0s2,LC_DCT_LC_UP,22.35,25.1,13.43,63.03,54.62,1099.45,1280.72,1083.94,20.29333333,58.825,1154.703333
Cma1,LC_ERST_UP,22.24,25.58,12.24,212.17,193.44,2.89,3.38,3.12,20.02,202.805,3.13
Ammecr1,DCT_ERST_DCT_UP,22.23,22.51,23.32,7.86,9.1,1.64,1.2,1.23,22.68666667,8.48,1.356666667
Cdo1,LC_DCT_LC_UP,22.23,21.83,10.9,9.98,10.02,203.3,206.3,204.66,18.32,10,204.7533333
Krt18,DCT_ERST_DCT_UP,21.92,22.6,18.3,0.2,0.05,2.66,2.68,2.2,20.94,0.125,2.513333333
Lmnb1,DCT_ERST_DCT_UP,21.89,21.59,23.4,7.73,6.51,0.81,1.53,0.86,22.29333333,7.12,1.066666667
Trim59,DCT_ERST_DCT_UP,21.88,23.82,27.84,10.71,8.62,4.25,4.88,3.34,24.51333333,9.665,4.156666667
Gm10157,DCT_ERST_DCT_UP,21.85,18.15,18.49,0,7.03,0,0,0,19.49666667,3.515,0
Akr1c18,DCT_ERST_DCT_UP,21.84,22.68,17.19,9.79,7.74,0,0,0,20.57,8.765,0
Gm25735,LC_DCT_LC_UP,21.3,31.69,43.74,49.55,57.35,526.27,352.76,435.22,32.24333333,53.45,438.0833333
Pthlh,DCT_ERST_DCT_UP,21.26,21.55,37.23,7.29,7.47,2.82,3.63,2.36,26.68,7.38,2.936666667
Gm27316,LC_DCT_LC_UP,21.22,10.39,25.07,11.52,17.46,180.64,132.46,164.45,18.89333333,14.49,159.1833333
Gm36958,DCT_ERST_DCT_UP,21.2,19.85,17.04,9.33,8.63,8.67,9.13,7.98,19.36333333,8.98,8.593333333
Gm13203,DCT_ERST_DCT_UP,21.16,18.06,12.13,1.96,2.02,0,0,0,17.11666667,1.99,0
Acsbg1,LC_ERST_UP,21.08,21.71,25.12,170.23,146.04,3.07,3.66,3.83,22.63666667,158.135,3.52
Epha4,DCT_ERST_DCT_UP,21.07,21.32,24.28,9.9,11.86,2.02,3.66,1.27,22.22333333,10.88,2.316666667
Gstp2,LC_DCT_LC_UP,21.05,15.67,8.45,12.09,12.22,62.8,69.38,63.48,15.05666667,12.155,65.22
Rab3ip,DCT_ERST_DCT_UP,21.03,21.17,20.51,4.62,3.66,4.79,4.87,5.6,20.90333333,4.14,5.086666667
Pdlim5,LC_DCT_LC_UP,21.01,18.88,18.36,16.37,17.65,81.54,85.74,78.71,19.41666667,17.01,81.99666667
Il17rc,LC_ERST_UP,20.96,20.67,17.2,80.95,58.76,27.01,23.82,21.59,19.61,69.855,24.14
Slc38a2,LC_DCT_LC_UP,20.92,21.05,21.27,27.2,24.74,78.53,71.49,79.9,21.08,25.97,76.64
Gm25640,LC_DCT_LC_UP,20.87,25.68,24.1,19.38,17.72,210.57,147.78,146.84,23.55,18.55,168.3966667
Myh1,LC_DCT_LC_UP,20.78,20.63,22.9,11.36,11.07,374.57,417.9,368.67,21.43666667,11.215,387.0466667
