LC_Up_Regulated_Genes,,DCT1,DCT2,DCT3,ERST2,ERST3,LC1,LC2,LC3,DCT-average,ERST-average,LC-average
Vsig8,DCT_ERST_DCT_UP,278.73,283.73,206.19,3.36,2.84,0.37,0.44,0.36,256.2166667,3.1,0.39
Gm12976,DCT_ERST_DCT_UP,274.84,272.01,258.63,57.14,81.73,146.28,115.61,119.96,268.4933333,69.435,127.2833333
Ppp1cb,DCT_ERST_DCT_UP,274.46,273.31,260.85,97.95,98.83,78.29,60.14,81.93,269.54,98.39,73.45333333
Gm37758,DCT_ERST_DCT_UP,265.57,274.41,242.7,99.39,93.75,112.87,124.13,134.27,260.8933333,96.57,123.7566667
Cd74,LC_ERST_UP,264.65,254.7,161.51,1243.07,1140.76,182.82,204.42,174.78,226.9533333,1191.915,187.34
2310007B03Rik,DCT_ERST_DCT_UP,263.77,263.75,224.95,25.05,24.46,0,0,0,250.8233333,24.755,0
Nme1,DCT_ERST_DCT_UP,260.4,268.77,252.92,137.12,138.42,49.47,47.86,32.17,260.6966667,137.77,43.16666667
mt-Nd5,LC_DCT_LC_UP,259.38,262.22,440.73,309.83,326.19,1059.32,861.14,1132.71,320.7766667,318.01,1017.723333
Tagln2,DCT_ERST_DCT_UP,257.02,255.11,240.64,125.64,104.41,127.57,144.19,118.65,250.9233333,115.025,130.1366667
Tcap,LC_DCT_LC_UP,256.29,256.63,80.33,116.12,99.72,4736.45,5504.78,4543,197.75,107.92,4928.076667
Krt6a,DCT_ERST_DCT_UP,255.32,253.11,254.99,64.32,54.68,0,0.07,0,254.4733333,59.5,0.023333333
Gm29562,DCT_ERST_DCT_UP,254.49,247.7,229.89,90.58,84.52,96.33,101.73,97.77,244.0266667,87.55,98.61
Cited4,DCT_ERST_DCT_UP,239.84,242.23,220.8,130.79,105.77,1.32,1.54,1.08,234.29,118.28,1.313333333
Hist1h2bc,DCT_ERST_DCT_UP,238.93,241.79,268.03,148.25,133.76,83.27,99.88,88.69,249.5833333,141.005,90.61333333
Gm26909,DCT_ERST_DCT_UP,238.2,241.8,262.67,16.09,24.22,14.99,7.55,10.74,247.5566667,20.155,11.09333333
Pla2g2e,DCT_ERST_DCT_UP,236.96,234.78,155.3,41.39,46.09,0.41,1.8,0.86,209.0133333,43.74,1.023333333
Gm20390,DCT_ERST_DCT_UP,236.89,251.6,262.94,118.26,150.74,38.92,30.74,56,250.4766667,134.5,41.88666667
Fbp1,DCT_ERST_DCT_UP,227.06,239.3,275.63,1.44,1.7,0.58,1.49,0.41,247.33,1.57,0.826666667
Hspb8,DCT_ERST_DCT_UP,226.83,221.38,264.75,111.6,115.12,108.76,120.53,112.03,237.6533333,113.36,113.7733333
Gm10094,DCT_ERST_DCT_UP,225.43,215.1,255.93,103.9,128.5,123.94,117.45,125.68,232.1533333,116.2,122.3566667
Lce1m,LC_ERST_UP,224.11,210.74,138.1,950.26,813.41,0,0,0,190.9833333,881.835,0
Fkbp1a,DCT_ERST_DCT_UP,222.73,215.23,202.24,111.45,106.5,109.9,109.04,106.58,213.4,108.975,108.5066667
S100a8,DCT_ERST_DCT_UP,222.34,221.31,133.49,48.25,49.32,2.76,2.77,2.24,192.38,48.785,2.59
Cpm,DCT_ERST_DCT_UP,222.15,219.19,260.67,25.01,24.4,15.04,15.77,15.43,234.0033333,24.705,15.41333333
Gm10013,DCT_ERST_DCT_UP,221.54,209.97,127.02,3.68,1.73,0,0,0,186.1766667,2.705,0
Krtap31-1,DCT_ERST_DCT_UP,220.71,212.11,133.7,1.35,0.58,0,0,0,188.84,0.965,0
Chac1,DCT_ERST_DCT_UP,220.57,221.76,132.3,4.18,3.58,3.31,3.75,2.83,191.5433333,3.88,3.296666667
Gm2431,DCT_ERST_DCT_UP,218.81,206.51,131.24,1.49,1.86,0,0,0,185.52,1.675,0
Mrps33,DCT_ERST_DCT_UP,216.37,209.68,226.54,87,99.95,82.9,90.5,92.67,217.53,93.475,88.69
Gm94,LC_ERST_UP,213.73,209.42,212.86,777.87,758.08,0,0,0,212.0033333,767.975,0
Gm11939,DCT_ERST_DCT_UP,213.27,238.99,109.86,0,0.48,0,0,0,187.3733333,0.24,0
Col1a2,LC_ERST_UP,212.85,215.61,118.02,2498.66,2421.07,260.01,283.56,252.67,182.16,2459.865,265.4133333
Stmn1,DCT_ERST_DCT_UP,211.93,210.91,232.32,81.69,86.7,2.84,3.29,2.61,218.3866667,84.195,2.913333333
A030005K14Rik,DCT_ERST_DCT_UP,211.08,205.24,136.43,2.15,1.61,0,0,0,184.25,1.88,0
Car6,DCT_ERST_DCT_UP,211.02,217.07,263.78,19.81,25.83,0,0,0,230.6233333,22.82,0
Lap3,DCT_ERST_DCT_UP,210.71,211.64,219.34,40.9,40.25,21.65,30.19,27.91,213.8966667,40.575,26.58333333
Dnase1l2,DCT_ERST_DCT_UP,210.03,224.52,162.63,78.4,57.82,2.21,2.92,2.34,199.06,68.11,2.49
Dlx3,DCT_ERST_DCT_UP,207.69,206.74,233.15,18.74,18.32,0.27,0.48,0.12,215.86,18.53,0.29
Gm7579,DCT_ERST_DCT_UP,206.96,202.04,118.69,2.19,1.43,0,0,0,175.8966667,1.81,0
Ivl,DCT_ERST_DCT_UP,206.87,200.27,187.07,54.17,48.8,0,0,0,198.07,51.485,0
Serinc2,DCT_ERST_DCT_UP,206.48,201.8,211.23,21.73,18.64,20.82,26.29,20.75,206.5033333,20.185,22.62
Slc25a4,LC_DCT_LC_UP,206.24,200.22,239.09,153.39,178.86,924.77,1006.18,923.06,215.1833333,166.125,951.3366667
Fam46b,DCT_ERST_DCT_UP,204.26,206.26,201.56,29.18,24.72,1.02,1.52,0.59,204.0266667,26.95,1.043333333
Sprr1b,DCT_ERST_DCT_UP,204.2,197.25,162,82.74,79.22,0,0,0,187.8166667,80.98,0
Lor,LC_ERST_UP,199.78,188.91,316.31,2738.52,2153.17,0.26,0.28,0.06,235,2445.845,0.2
Lrrc15,DCT_ERST_DCT_UP,199.28,200.29,172.73,2.13,2,0.13,0.11,0.19,190.7666667,2.065,0.143333333
Lztr1,DCT_ERST_DCT_UP,197.6,196.06,162.01,50.72,55.28,57.89,53.89,64.05,185.2233333,53,58.61
Eif2s2,DCT_ERST_DCT_UP,196.88,196.99,230.83,70.33,83.52,45.7,40.51,50.56,208.2333333,76.925,45.59
RP23-4H17.3,DCT_ERST_DCT_UP,192.85,222.46,170.95,3.69,14.72,16.1,13.61,15.26,195.42,9.205,14.99
H2-Ab1,LC_ERST_UP,189.18,182.75,100.93,816.81,782.44,58.5,64.4,58.59,157.62,799.625,60.49666667
Gsdma,DCT_ERST_DCT_UP,183.82,176.39,166.19,55.94,55.74,0,0,0,175.4666667,55.84,0
Gm4559,DCT_ERST_DCT_UP,182.42,186.27,106.92,1.57,0.19,0,0,0,158.5366667,0.88,0
Junb,LC_DCT_LC_UP,181.69,184.16,207.08,171.83,138.49,1832.45,2054.23,1901.27,190.9766667,155.16,1929.316667
Sprr4,DCT_ERST_DCT_UP,179.81,199.37,136.08,56.83,46.91,0,0,0,171.7533333,51.87,0
Ass1,DCT_ERST_DCT_UP,178.97,182.55,212.75,25.27,24.06,21.75,28.92,24.27,191.4233333,24.665,24.98
Arl5c,DCT_ERST_DCT_UP,178.42,182.62,127.94,12.23,14.42,6.92,5.66,6.27,162.9933333,13.325,6.283333333
Hnrnpl,DCT_ERST_DCT_UP,171.25,169.98,168.57,87.96,104.95,68.4,58.66,70.2,169.9333333,96.455,65.75333333
Lyz2,LC_ERST_UP,171.23,172.36,65.5,596.21,550.01,149.4,175.14,156.82,136.3633333,573.11,160.4533333
Gm22752,DCT_ERST_DCT_UP,171.12,133.36,128.97,0,0,0,0,0,144.4833333,0,0
Sct,DCT_ERST_DCT_UP,170.32,161.93,109.47,0.72,0.2,0.27,0,0.63,147.24,0.46,0.3
Ptms,LC_DCT_LC_UP,168.36,162.45,166.56,243.53,248.98,613.97,590.84,602.08,165.79,246.255,602.2966667
Anxa8,LC_ERST_UP,163.08,167,205.46,710.22,637.47,100.6,120.1,99.76,178.5133333,673.845,106.82
Ggct,LC_ERST_UP,161.64,162.55,148.33,552.96,538.3,10.13,9.62,11.17,157.5066667,545.63,10.30666667
Cox8b,LC_DCT_LC_UP,160.99,157.6,105.62,68.84,72.11,675.17,730.35,671.81,141.4033333,70.475,692.4433333
Gnat1,DCT_ERST_DCT_UP,158.88,177.94,128.82,11.18,15.05,14.43,10.52,8.18,155.2133333,13.115,11.04333333
H2-Aa,LC_ERST_UP,158.04,165.5,87.38,543.79,514.6,48.59,57.55,49.22,136.9733333,529.195,51.78666667
Rabac1,LC_DCT_LC_UP,157.78,149.15,116.64,320.68,297.21,670.45,702.07,609.59,141.19,308.945,660.7033333
Id3,LC_DCT_LC_UP,156.87,146.17,191.93,130.28,121.5,801.55,915.25,790.12,164.99,125.89,835.64
Krt77,DCT_ERST_DCT_UP,154.09,153.48,136.13,67.18,66.67,0,0,0,147.9,66.925,0
Gm5278,DCT_ERST_DCT_UP,149.44,141.75,128.23,0.79,0.67,0.23,0,0,139.8066667,0.73,0.076666667
Cast,DCT_ERST_DCT_UP,149.18,148.59,188.25,58.66,57.39,27.3,28.52,29.72,162.0066667,58.025,28.51333333
Krt10,LC_ERST_UP,148.77,141.11,220.86,2295.54,2374.69,3.08,2.07,3.05,170.2466667,2335.115,2.733333333
Krtap28-10,DCT_ERST_DCT_UP,145.77,147.37,136.31,1.24,1.31,0,0,0,143.15,1.275,0
Gm23840,LC_DCT_LC_UP,144.99,48.75,142.27,200.63,156.23,1533.7,996.82,1524.03,112.0033333,178.43,1351.516667
Krtap24-1,DCT_ERST_DCT_UP,144.54,142.14,164.68,0.67,0.93,0,0,0,150.4533333,0.8,0
Rhog,DCT_ERST_DCT_UP,142.96,139.56,97.55,47.3,41.82,41.2,45.57,35.02,126.69,44.56,40.59666667
Gm42418,LC_DCT_LC_UP,142.36,129.93,31.24,31.6,29.7,420.51,536.89,436.4,101.1766667,30.65,464.6
Gm12953,DCT_ERST_DCT_UP,141.89,153.07,171.73,15.8,23.24,8.31,9.36,8.91,155.5633333,19.52,8.86
Prss53,DCT_ERST_DCT_UP,141.2,133.13,161.01,6.04,6.06,0.82,0,1.55,145.1133333,6.05,0.79
Kdm5a,DCT_ERST_DCT_UP,140.37,140.14,104.67,25.41,30.8,47.79,37.7,45.95,128.3933333,28.105,43.81333333
Fxyd1,LC_DCT_LC_UP,140.32,151.34,76.25,102.16,127.45,704.06,685.19,680.2,122.6366667,114.805,689.8166667
S100a4,LC_DCT_LC_UP,138.12,141.79,69.33,1059.14,828.99,6280.32,7403.08,6151.9,116.4133333,944.065,6611.766667
Tango2,DCT_ERST_DCT_UP,137.73,138.18,158.3,42.63,48.95,64.68,48.52,55.73,144.7366667,45.79,56.31
Lce1a2,LC_ERST_UP,137.4,140.72,77.81,780.9,838.97,0,0,0,118.6433333,809.935,0
Slc40a1,DCT_ERST_DCT_UP,137.07,135.51,165.35,19.03,22.13,4.09,4.83,4.05,145.9766667,20.58,4.323333333
Gm25960,LC_DCT_LC_UP,134.79,99.06,121.82,228.48,237.94,822.41,828.97,896.1,118.5566667,233.21,849.16
Cgref1,DCT_ERST_DCT_UP,134.4,137.61,127.42,45.49,52.39,29.25,24.64,29.21,133.1433333,48.94,27.7
Trf,LC_DCT_LC_UP,133.85,126.16,91.26,160.27,151.55,1354.1,1516.94,1321.83,117.09,155.91,1397.623333
Csnk1e,DCT_ERST_DCT_UP,133.2,123.67,121.45,62.5,58.28,26.01,27.68,29.4,126.1066667,60.39,27.69666667
Il1f10,DCT_ERST_DCT_UP,131.63,131.1,93.53,67.42,56.89,0,0,0,118.7533333,62.155,0
Gm25072,LC_DCT_LC_UP,131.3,127.13,164.22,109.2,101.05,1317.7,973.27,1199.63,140.8833333,105.125,1163.533333
Gstm5,LC_DCT_LC_UP,130.06,128.26,116.52,142.19,140.93,491.07,552.23,470.59,124.9466667,141.56,504.63
Mgp,LC_DCT_LC_UP,128.44,118.1,35.94,86.48,75.55,1694.43,1858.19,1640.89,94.16,81.015,1731.17
Cxcl14,DCT_ERST_DCT_UP,128.06,124.58,146.75,56.82,54.9,20.72,20.05,18.77,133.13,55.86,19.84666667
Rnf39,DCT_ERST_DCT_UP,127.85,127.65,128.94,74.31,58.69,8.1,13,9.11,128.1466667,66.5,10.07
Gm5776,DCT_ERST_DCT_UP,125.4,112.77,117.16,57.27,63.52,32.52,27.34,22.73,118.4433333,60.395,27.53
Gm43057,DCT_ERST_DCT_UP,122.44,108.26,127.72,12.08,18.05,41.23,13.55,32.56,119.4733333,15.065,29.11333333
Eif2b4,DCT_ERST_DCT_UP,122.38,129.24,106.01,45.54,45.83,34.11,43.26,34.24,119.21,45.685,37.20333333
Gm22692,LC_DCT_LC_UP,121.89,88.9,25.49,90.86,28.63,441.72,314.01,279.5,78.76,59.745,345.0766667
Apod,LC_DCT_LC_UP,121.6,117.01,63.82,214.28,240.95,905,984.9,923.56,100.81,227.615,937.82
Tubb6,DCT_ERST_DCT_UP,118.65,113.23,141.66,29.18,28.51,32.18,37.94,30.31,124.5133333,28.845,33.47666667
Pgap2,DCT_ERST_DCT_UP,118.46,110.11,124.69,51.58,46.1,17.09,19.97,21.73,117.7533333,48.84,19.59666667
Padi3,DCT_ERST_DCT_UP,118.08,117.5,136.82,0.35,0.3,0.06,0.05,0.13,124.1333333,0.325,0.08
Krtap5-2,DCT_ERST_DCT_UP,117.96,122.71,81.46,2,1.61,0,0,0,107.3766667,1.805,0
Eif5,DCT_ERST_DCT_UP,116.77,118.1,127.25,63.52,68.87,57.62,61.46,65.1,120.7066667,66.195,61.39333333
Elovl3,LC_ERST_UP,116.74,121.65,151.43,651.1,669.04,0.63,0.11,0.36,129.94,660.07,0.366666667
Gm20678,DCT_ERST_DCT_UP,115.42,126.17,108.19,18.98,22.51,30.91,20.99,25.93,116.5933333,20.745,25.94333333
Fhl1,LC_DCT_LC_UP,112.24,112.13,75.62,55.68,47.4,501.06,505.66,502.36,99.99666667,51.54,503.0266667
