Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
Otog,0,1.05,0,0,0,0,33,17,148
Oscar,0,1,0,1,2,4,25,25,148
Ebf3,1,2,1,31,18,31,67,64,71
Ugt1a8,2.09,0,0,39.45,21.43,41.45,54.75,78.41,67.74
Erbb3,0,2,0,6,4,8,88,62,51
Kif18b,0,1,0,3,3,1,59,59,82
Clec7a,0,1,1,91,53,56,35,89,78
Ostn,0,0,2,0,0,0,84,50,70
Hoxc4,0,0,0,32,21,16,114,48,44
Shc2,1,3,1,19.01,12,14,93,37,83
Fam83f,0,1,0,3,3,3,29,141,40
Kif2c,2,1,1,10,8,2.28,49.64,69.85,93.89
Pidd1,3,9,4,56,31,35,69,96,62
Klhl31,3,2,9,0,0,1,108,78,40
Slc2a9,0,1,2,10,5,9,25,110,80
Ppp1r3g,0,0,2,0,0,0,91,33,91
Batf2,0,0,0,14,10,13,50,119,45
Asb16,2,2,1,0,0,0,107,34,79
Tnfsf11,0,0,0,1,0,1,66,90,60
Dkk1,1.97,1.31,0,0,0,0,71.11,128.7,20.03
Sell,0,0,0,15,6,7,122,55,40
Brsk1,7,2,1,0,0,1,85,49.3,93.52
Tmem255a,0,1,0,32.38,15.69,23.53,110,26.44,83
Egr3,0,0,0,7,6,9,81,68,70
Kifc5b,0.98,2,4.63,1,0,1,91.34,57.46,78.39
Nfasc,0,9,3,0,0,1,148,33,52
Rorb,1.2,1.08,0,0,0.48,0,21,159.47,43.69
Pilra,4.97,1.47,2.95,27.36,16.53,29.8,81.26,89.83,60.24
Gm11427,0,0,0,1.1,0,1,47.88,92.67,85.43
Tnfrsf9,2,1,0,12,7,5,135,27,70
Kcne4,2,4,1,36,26,46,107,39,90
Pmaip1,0,1.01,0,18,29,12,47,100,85
Gm12250,0,2,0,38,42,51,47,126,62
Gm10561,8.52,4.36,5.38,0,0,0,69.27,73.32,108.82
Cxcl5,0,0,0,1.01,1.19,0,39,17.84,177.24
Tmem170,4,7,3,32,18,20,80,96,73
Mybl1,4,4,2,0,0,1,111,33,101
1700001L05Rik,1,1,0,30,12,31,112,36,95
Apcdd1,4,6,7,81,63,106,81,56,125
B230206H07Rik,4.33,8.32,1.37,0,0,1.29,124.15,101.14,42.32
Kcnk13,1,1,1,18,18,15,20,125,114
Plac8,0,1,0,22,18,17,149,38,70
