Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.CRT,logFC.DRT,relative.CRT,relative.DRT,PValue
ENSMUSG00000089661.9,Mia,5.31,2.85,5.55,14.5,11.69,4.72,4.99,4.57,13.095,4.855,-1.768373693,-1.371293848,0.293539449,0.386544429,0.000745968
ENSMUSG00000058725.1,Gm11937,1313.08,1578.15,910.34,3821.64,3346.59,1552.43,1524.62,1267.19,3584.115,1538.525,-1.789136733,-1.194689654,0.28934513,0.436880417,0.000879906
ENSMUSG00000040026.7,Saa3,1.67,4.85,0.84,11.46,10.64,0.58,0.79,2.453333333,11.05,0.685,-2.386034347,-3.767666743,0.191307542,0.073420831,0.000930153
ENSMUSG00000062278.2,Gm11562,1114.19,1491.35,1031.74,3192.49,2671.38,1322.39,1395.93,1212.426667,2931.935,1359.16,-1.565574209,-1.08696438,0.337843216,0.470750855,0.000980324
ENSMUSG00000098914.1,Gm27747,0,0,0,14.46,39.54,4.01,4.73,0,27,4.37,-7.873495477,-2.552708596,0.00426424,0.170434748,0.001367588
ENSMUSG00000029368.10,Alb,2.38,2.2,1.69,4.76,7.07,0.26,0.5,2.09,5.915,0.38,-1.715023143,-3.574620071,0.30459768,0.083932882,0.001437109
ENSMUSG00000078688.11,Mup2,0,5.97,2.95,13.47,20.86,0.44,0.81,2.973333333,17.165,0.625,-2.751850144,-4.510134431,0.148460378,0.043884813,0.001674671
ENSMUSG00000018569.12,Cldn7,2.75,0.95,1.08,6.32,6.89,1.75,1.17,1.593333333,6.605,1.46,-2.234821606,-2.055335855,0.212447518,0.240592595,0.001977572
ENSMUSG00000026258.5,3110079O15Rik,0,2.35,0.75,15.12,7.67,0.18,1.13,1.033333333,11.395,0.655,-3.574264063,-3.867038219,0.083953596,0.068533909,0.002391975
ENSMUSG00000078686.11,Mup9,51.42,25.27,9.66,42.95,107.03,0,0.1,28.78333333,74.99,0.05,-1.639037973,-8.796457475,0.321070501,0.002249067,0.00243169
ENSMUSG00000106686.1,AC153874.1,157.95,244.56,118.32,409.75,384.04,127.19,116.24,173.61,396.895,121.715,-1.474083589,-1.674252917,0.359961973,0.313328321,0.002503687
ENSMUSG00000026623.16,Lpgat1,7.92,6.32,8.63,10.34,17.11,3.86,4.69,7.623333333,13.725,4.275,-1.113285977,-1.616317874,0.462240003,0.326166864,0.002587861
ENSMUSG00000070834.5,Gm13015,0,0,0,2.69,1.79,0,0,0,2.24,0,-4.352081673,-4.352081673,0.048965802,0.048965802,0.002795714
ENSMUSG00000105001.1,AC117232.1,0,0,0,6.58,16.28,0,0,0,11.43,0,-6.645300529,-6.645300529,0.009989994,0.009989994,0.002816914
