Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.CRT,logFC.DRT,relative.CRT,relative.DRT,PValue
ENSMUSG00000030785.8,Cox6a2,455.17,254.18,419.65,28.27,17.6,73.5,76,376.3333333,22.935,74.75,3.724302962,1.721211808,13.21681784,3.29713237,3.49451E-05
ENSMUSG00000040666.17,Sh3bgr,41.05,33.63,49.54,5.59,4.64,16.76,17.01,41.40666667,5.115,16.885,2.708205438,1.740005966,6.535082453,3.340365492,3.50437E-05
ENSMUSG00000105285.1,Gm43238,31.41,32.19,36.23,14.08,9.59,52.43,56.52,33.27666667,11.835,54.475,1.200018515,2.228066444,2.297426194,4.685056494,3.68994E-05
ENSMUSG00000022215.5,Fitm1,67.04,37.5,63.97,2.31,3.55,10.45,10.17,56.17,2.93,10.31,3.926708527,1.815921819,15.20747288,3.520845252,4.15073E-05
ENSMUSG00000020882.17,Cacnb1,17.62,11.61,16.6,1.79,1.52,3.57,3.2,15.27666667,1.655,3.385,2.842274501,1.022561071,7.171497985,2.031522117,4.38429E-05
ENSMUSG00000001508.15,Sgca,20.57,13.02,20.39,1.51,1.49,3.59,3.47,17.99333333,1.5,3.53,3.20851119,1.213387027,9.24396111,2.318813881,4.39758E-05
ENSMUSG00000026407.17,Cacna1s,38.48,24.37,33.74,2.93,1.93,10.38,11.76,32.19666667,2.43,11.07,3.385940041,2.175158714,10.45368756,4.516354446,4.53744E-05
ENSMUSG00000085779.1,Atcayos,21.93,14.15,22.89,0.99,0.87,6.11,6.25,19.65666667,0.93,6.18,3.962879953,2.630002268,15.5935765,6.190269704,4.70084E-05
ENSMUSG00000029158.9,Yipf7,12.7,8.43,11.96,0.74,0.93,3.65,3.15,11.03,0.835,3.4,3.275138393,1.92633154,9.680881321,3.800874895,4.71701E-05
ENSMUSG00000023153.9,Tmem52,49.72,28.13,46.01,2.97,1.22,4.67,5.3,41.28666667,2.095,4.985,3.945912231,1.24502523,15.4112527,2.370226992,5.16563E-05
ENSMUSG00000085348.1,Gm12300,14.39,12.64,14.56,1.84,1.56,12.39,9.22,13.86333333,1.7,10.805,2.667446568,2.628781792,6.353037648,6.185035142,5.17789E-05
ENSMUSG00000033065.13,Pfkm,88.39,54.59,91.29,5.8,9.19,25.08,25.57,78.09,7.495,25.325,3.080063336,1.783117129,8.456515566,3.441689934,5.38562E-05
ENSMUSG00000019787.8,Trdn,30.95,20.44,32.74,2.21,2.23,10.17,9.69,28.04333333,2.22,9.93,3.312362429,2.144777287,9.933915186,4.422239886,5.48011E-05
ENSMUSG00000022822.15,Abcc5,58.63,62.86,58.17,18.45,20.92,40.23,37.49,59.88666667,19.685,38.86,1.320840621,1.017435792,2.498116262,2.024317792,5.86825E-05
ENSMUSG00000038403.10,Hfe2,16.98,12.2,19.87,1.12,1.21,5.24,5.39,16.35,1.165,5.315,3.406886671,2.1241289,10.60657286,4.35939793,6.1711E-05
ENSMUSG00000055489.7,Ano5,7.64,8.37,9.29,0.67,0.5,1.67,1.4,8.433333333,0.585,1.535,3.333899049,1.27431855,10.08332154,2.418845378,6.39876E-05
ENSMUSG00000032523.10,Hhatl,25.7,16.25,18.99,2.56,1.71,4.12,4.58,20.31333333,2.135,4.35,2.90365843,1.027783584,7.483216057,2.038889493,7.58546E-05
ENSMUSG00000031097.14,Tnni2,1606.62,1072.18,1464.37,123.54,66.83,389.07,440.55,1381.056667,95.185,414.81,3.536823726,2.125887492,11.60619948,4.364715116,9.2657E-05
ENSMUSG00000089718.1,2310075C17Rik,16.29,13.92,13.1,1.09,0,3.18,2.27,14.43666667,0.545,2.725,4.184330556,2.143529053,18.18063338,4.418415376,9.35267E-05
ENSMUSG00000062694.7,Cav3,24.29,16.09,27.09,1.75,2.34,6.34,7.18,22.49,2.045,6.76,3.108558141,1.710018342,8.62520138,3.27164983,9.45186E-05
ENSMUSG00000044951.13,Mylk4,11.33,7,8.05,0.67,0.54,2.05,2.17,8.793333333,0.605,2.11,3.352587284,1.66567908,10.21478748,3.172629559,0.00010105
ENSMUSG00000095547.1,Gm10719,7.8,20.62,7.51,0,0.15,50.75,42.57,11.97666667,0.075,46.66,5.714013207,7.982078545,52.49154684,252.8395856,0.000103533
ENSMUSG00000018893.14,Mb,206.23,99.89,203.14,12.22,9.61,47.59,48.53,169.7533333,10.915,48.06,3.651695808,2.161522294,12.56811,4.473866769,0.000104622
ENSMUSG00000027499.12,Pkia,23.58,14.92,22.45,1.72,3.23,5.72,5.67,20.31666667,2.475,5.695,2.701323211,1.205444199,6.503981759,2.306082616,0.000106609
ENSMUSG00000061462.15,Obscn,16.72,9.35,14.43,0.58,0.73,3.98,4.25,13.5,0.655,4.115,3.866186759,2.496603511,14.58270812,5.643552171,0.000115502
ENSMUSG00000019997.11,Ctgf,47.54,63.96,49.86,6.15,11.65,18.16,20.61,53.78666667,8.9,19.385,2.305013518,1.155394316,4.941720854,2.227451959,0.000118869
ENSMUSG00000033044.12,Dhrs7c,16.16,11.41,16.59,2.03,0.97,4.82,4.09,14.72,1.5,4.455,2.921316061,1.539761115,7.575368455,2.907463569,0.000118894
ENSMUSG00000020722.5,Cacng1,23.7,14.33,19.55,2.32,2.26,3.91,5.63,19.19333333,2.29,4.77,2.726443962,1.061590471,6.618223266,2.087231282,0.000119869
ENSMUSG00000030433.14,Sbk2,21.4,12.02,18.57,0.35,0.86,11.35,11,17.33,0.605,11.175,4.319854044,4.010475413,19.97126821,16.11659885,0.000120786
ENSMUSG00000035296.13,Sgcg,21.11,12.73,21.84,1.23,1.48,5.69,5.46,18.56,1.355,5.575,3.388541245,1.992056464,10.47255274,3.978036364,0.000124037
ENSMUSG00000027887.11,Sypl2,13.83,8.16,14.36,0.66,0.65,3.05,3.32,12.11666667,0.655,3.185,3.711954323,2.138121341,13.10417227,4.401884651,0.000135564
ENSMUSG00000027470.9,Mylk2,17.94,10.89,15.78,0.34,1.41,4.85,4.65,14.87,0.875,4.75,3.641936925,2.336227428,12.4833819,5.049804123,0.000136738
ENSMUSG00000031382.14,Asb11,19.08,10.47,17.52,0.61,1.24,3.61,3.47,15.69,0.925,3.54,3.647474652,1.852248679,12.53139094,3.610625225,0.000146638
ENSMUSG00000030470.14,Csrp3,117.88,57.69,116.18,3.93,6.67,62.34,61,97.25,5.3,61.67,3.884734341,3.555046984,14.7713967,11.75373184,0.000157413
ENSMUSG00000051747.14,Ttn,356.87,149.75,324.95,15.16,9.94,109.16,108.46,277.19,12.55,108.81,4.151180496,3.133305201,17.76764411,8.774428736,0.000162515
ENSMUSG00000025488.8,Cox8b,636.72,363.59,593.13,71.45,42.1,115.75,118.83,531.1466667,56.775,117.29,2.908089723,1.057168188,7.506236378,2.080843102,0.000166106
ENSMUSG00000005716.16,Pvalb,796.26,598.29,783.17,91.01,47.92,263.4,265.42,725.9066667,69.465,264.41,3.065149768,1.93242443,8.369548326,3.816960959,0.000167012
ENSMUSG00000023092.16,Fhl1,398.93,217.16,413.65,23.79,44.79,124.54,122.26,343.2466667,34.29,123.4,3.048115463,1.901326747,8.271307839,3.735565729,0.000167394
ENSMUSG00000045667.14,Smtnl2,17.14,11.47,17.1,1.57,2.58,7.7,7.08,15.23666667,2.075,7.39,2.53154865,1.816785805,5.781920012,3.522954409,0.000175793
ENSMUSG00000027022.13,Xirp2,9.42,6.39,9.57,0.43,0.43,2.96,3.09,8.46,0.43,3.025,3.699256373,2.56471281,12.98934135,5.916372176,0.000175839
ENSMUSG00000046345.4,Smco1,15.85,10.07,16.28,0.74,1.56,5.07,3.75,14.06666667,1.15,4.41,3.209022026,1.878085823,9.24723483,3.675870197,0.000178424
ENSMUSG00000035923.3,Myf6,16.65,9.41,16.63,0.88,0.65,3.71,4.33,14.23,0.765,4.02,3.748739125,2.271182504,13.44258906,4.827186288,0.000180264
ENSMUSG00000028348.7,Murc,11.06,6.94,11.43,0.67,0.58,3.45,2.26,9.81,0.625,2.855,3.468539983,2.043303399,11.06966749,4.121882556,0.000185549
ENSMUSG00000024471.12,Myot,63.92,32.41,65.79,1.99,4.12,11.45,12.18,54.04,3.055,11.815,3.813060808,1.95283957,14.0554799,3.871357581,0.000204786
ENSMUSG00000056328.14,Myh1,151.92,59.88,145.1,3.52,4.35,23.99,25.57,118.9666667,3.935,24.78,4.590330952,2.660173448,24.08947341,6.321090403,0.000206407
ENSMUSG00000043795.8,Prr33,11.11,6.08,10.95,0.29,0.65,2.04,2.06,9.38,0.47,2.05,3.743750924,1.925617217,13.3961908,3.798993429,0.000209775
ENSMUSG00000028834.13,Trim63,16.63,10.9,17.8,0.71,2.17,4.14,4.63,15.11,1.44,4.385,3.013626223,1.572436252,8.075917782,2.97406515,0.000212567
ENSMUSG00000082286.10,Pisd-ps1,80,102.56,76.12,28.43,35.42,114.01,102.29,86.22666667,31.925,108.15,1.156383014,1.799958479,2.228978984,3.482102036,0.000214885
ENSMUSG00000044086.8,Lmod3,14.24,8.05,13.24,0.61,0.63,6.56,5.45,11.84333333,0.62,6.005,3.746469228,3.096880508,13.42145549,8.555668047,0.000231284
ENSMUSG00000022519.13,Srl,36.74,19.33,34.98,1.07,2.85,7.67,7.16,30.35,1.96,7.415,3.596310044,1.899776486,12.09475839,3.731553799,0.000238456
ENSMUSG00000052374.14,Actn2,83.2,35.55,74.19,1.54,2.44,15.01,14.08,64.31333333,1.99,14.545,4.652381239,2.84045587,25.14816518,7.162463439,0.000248824
ENSMUSG00000020061.17,Mybpc1,74.95,37.11,69.24,4.38,5.75,15.55,19.73,60.43333333,5.065,17.64,3.264562563,1.817331399,9.610174069,3.524286962,0.000269213
ENSMUSG00000055027.17,Smyd1,14.12,7.77,14.38,0.59,0.95,2.68,3.46,12.09,0.77,3.07,3.50809118,1.886187678,11.37733832,3.696571141,0.00027834
ENSMUSG00000078937.8,Cpt1b,16.24,8.04,15.17,0.48,0.7,2.85,3.29,13.15,0.59,3.07,3.955857443,2.214100971,15.51785712,4.639923343,0.000299735
ENSMUSG00000070385.12,Ampd1,25.45,13.99,22.12,1.5,2.24,10.75,9.24,20.52,1.87,9.995,3.099011663,2.388606518,8.568315855,5.236513286,0.000329488
ENSMUSG00000025141.2,Myadml2,14.36,8.59,15.43,1.18,0.55,4.78,4.67,12.79333333,0.865,4.725,3.441560394,2.34319845,10.8645792,5.074263539,0.000348022
ENSMUSG00000040287.9,Stac3,23.39,13.12,24.2,1.87,1.52,5.23,7.19,20.23666667,1.695,6.21,3.211984109,1.844401919,9.266240381,3.591040488,0.000357957
ENSMUSG00000032643.12,Fhl3,53.77,33.35,56.19,7.66,9.83,22.78,22.63,47.77,8.745,22.705,2.153361154,1.405671218,4.44863013,2.64941018,0.000362755
ENSMUSG00000087090.7,Nctc1,12.82,6.3,11.91,0.55,0.41,2.46,2.75,10.34333333,0.48,2.605,3.858311278,2.230780053,14.50331993,4.693877052,0.00038437
ENSMUSG00000027077.7,Smtnl1,24.03,12.07,23.01,1.16,0.95,7.19,7.3,19.70333333,1.055,7.245,3.803058744,2.692613944,13.95837164,6.464836771,0.000400345
ENSMUSG00000085334.7,Gm12940,131.84,210.18,169.11,32.05,44.54,125.06,124.35,170.3766667,38.295,124.705,1.882387953,1.746970155,3.686848036,3.356529112,0.000423201
ENSMUSG00000021557.14,Agtpbp1,20.18,21.43,17.21,5.18,3.52,9.99,12.35,19.60666667,4.35,11.17,1.864524336,1.376902513,3.641478523,2.597101706,0.000450222
ENSMUSG00000024049.14,Myom1,14.05,7.44,14.46,0.52,1.01,4.15,3.83,11.98333333,0.765,3.99,3.503616943,2.260772418,11.34210839,4.792480024,0.000500564
ENSMUSG00000100768.1,Gm29055,16.16,18.57,15.91,7.88,5.1,30.38,22.78,16.88,6.49,26.58,1.084665652,2.05434946,2.120883906,4.153563065,0.000517027
ENSMUSG00000102443.1,Gm37102,5.38,5.9,7.95,2.49,1.34,15.17,10.5,6.41,1.915,12.835,1.409758101,2.713257251,2.656926099,6.558006132,0.000527716
ENSMUSG00000038526.14,Car14,9.66,5.18,9.31,0.56,0.7,2.3,2.84,8.05,0.63,2.57,3.178031231,1.887899485,9.05071163,3.700959852,0.000529435
ENSMUSG00000006221.7,Hspb7,18.89,9.74,19.39,0.99,1.2,5.87,6.01,16.00666667,1.095,5.94,3.457500008,2.36252174,10.98528206,5.142684828,0.000549522
ENSMUSG00000008658.15,Rbfox1,8.02,5.1,9.02,0.52,0.55,2.05,1.91,7.38,0.535,1.98,3.2516234,1.726202731,9.524368235,3.308558368,0.000584644
ENSMUSG00000031461.4,Myom2,19.1,9.49,18.56,0.78,1.6,5.36,4.81,15.71666667,1.19,5.085,3.322462329,2.033900975,10.00370372,4.095106507,0.000692354
ENSMUSG00000097312.1,Gm26870,145.08,595.9,146.79,15.25,9.72,1156.27,893.96,295.9233333,12.485,1025.115,4.283351671,6.374592562,19.47230372,82.97429506,0.000738883
ENSMUSG00000005583.16,Mef2c,54.99,27.23,50.24,6.59,6.89,13.62,14.8,44.15333333,6.74,14.21,2.409170667,1.10301213,5.311688953,2.148027003,0.00076482
ENSMUSG00000030730.12,Atp2a1,1306.8,763.76,1260.28,74.17,213.36,288.72,278.6,1110.28,143.765,283.66,2.703177071,1.062602191,6.512344732,2.088695509,0.000797337
ENSMUSG00000095891.7,Gm10717,16.59,60.87,14.86,0.91,1.53,123.94,99.62,30.77333333,1.22,111.78,4.262137991,6.431401925,19.18807384,86.30677593,0.000813584
ENSMUSG00000000628.10,Hk2,45.82,53.43,51.04,15.45,23.42,35.62,41.85,50.09666667,19.435,38.735,1.085781933,1.033624315,2.122525569,2.04716064,0.000819722
ENSMUSG00000020836.15,Coro6,10.33,7.3,8.38,1.06,1.04,2.68,2.45,8.67,1.05,2.565,2.638527934,1.240417062,6.226959666,2.362668236,0.000821068
ENSMUSG00000075014.1,Gm10800,192.1,911.98,222.41,22.34,14.7,1759.89,1404.5,442.1633333,18.52,1582.195,4.29675788,6.432999937,19.65409297,86.40242726,0.000861901
ENSMUSG00000096201.1,Gm10715,1.12,3.49,0.98,0.13,0.16,7.32,5.6,1.863333333,0.145,6.46,2.664153708,4.698416561,6.338553773,25.96356457,0.000862787
ENSMUSG00000025129.2,Ppp1r27,54.22,24.82,48.74,3.95,3.86,24.34,25.62,42.59333333,3.905,24.98,3.127060732,2.681925011,8.736532131,6.417115773,0.000865006
ENSMUSG00000069248.11,Serpinb6e,5.52,10.06,5.83,0.5,0.47,1.5,1.07,7.136666667,0.485,1.285,3.319622325,1.259116263,9.984030385,2.393490803,0.000887449
ENSMUSG00000095280.1,Gm21738,3.79,18.45,4.18,0.48,0,47.49,31.68,8.806666667,0.24,39.585,4.375512559,6.844926801,20.75680602,114.955111,0.001018825
ENSMUSG00000075015.3,Gm10801,19.19,78.63,18.23,0.76,1.3,157.55,122.98,38.68333333,1.03,140.265,4.815796317,6.980578329,28.16431185,126.2884009,0.001019318
ENSMUSG00000047343.4,Mettl21c,6.17,4.33,5.51,0.13,0.02,1.73,1.5,5.336666667,0.075,1.615,4.566871871,3.222273867,23.70093174,9.332566395,0.001158341
ENSMUSG00000078815.8,Cacng6,6.1,5.03,7.34,0.26,0.46,1.86,1.22,6.156666667,0.36,1.54,3.44773837,1.837804207,10.91120377,3.574655489,0.001246951
ENSMUSG00000047419.5,Cmya5,7.77,4.47,8.19,0.47,0.54,2.02,2.1,6.81,0.505,2.06,3.206043784,1.848476525,9.228164902,3.601197006,0.001377453
ENSMUSG00000039891.6,Txlnb,7.61,4.55,8.1,0.39,0.65,1.75,2.18,6.753333333,0.52,1.965,3.159767022,1.749489571,8.936853794,3.362395827,0.001450988
ENSMUSG00000096780.7,Tmem181b-ps,13.83,16.69,14.16,3.7,3.48,7.71,6.77,14.89333333,3.59,7.24,1.740682967,1.028921153,3.341933364,2.040497798,0.001647741
ENSMUSG00000091028.1,Gm10722,1.31,5.55,1.82,0.16,0.19,8.73,7.75,2.893333333,0.175,8.24,3.105316469,4.886849912,8.605842693,29.58614679,0.001674073
ENSMUSG00000002007.5,Srpk3,7.98,4.93,7.02,0.47,0.49,1.97,2.24,6.643333333,0.48,2.105,3.230375366,1.937404285,9.385121134,3.830159003,0.001678259
ENSMUSG00000056900.13,Usp13,8.35,4.02,6.64,0.23,0.32,3.64,3.13,6.336666667,0.275,3.385,3.772621269,3.20387876,13.66696758,9.214326763,0.001687596
ENSMUSG00000019577.6,Pdk4,10.4,8.68,12.42,1.39,1.93,5.78,5.54,10.5,1.66,5.66,2.303463182,1.741524249,4.936413277,3.343882722,0.001862365
ENSMUSG00000090353.2,Gm17555,6.96,7.92,7.87,2.17,1.78,10.95,9.35,7.583333333,1.975,10.15,1.605602363,2.335961341,3.043227868,5.048872836,0.001902313
ENSMUSG00000095186.1,Gm10718,3.84,21.57,2.82,0.5,0,59.98,35.17,9.41,0.25,47.575,4.430157683,7.069995098,21.55809335,134.3632789,0.001925877
ENSMUSG00000086298.1,Gm11716,19.28,12.09,19.15,3.93,0.79,5.34,4.7,16.84,2.36,5.02,2.497281297,1.091758184,5.646204165,2.1313362,0.001961921
ENSMUSG00000074564.3,Gm10720,2.43,12.83,3.32,0.52,0.03,19.98,19.73,6.193333333,0.275,19.855,3.740767121,5.717190017,13.36851323,52.60726044,0.002178821
ENSMUSG00000038763.11,Alpk3,6.32,4.76,5.82,0.19,0.41,1.59,1.43,5.633333333,0.3,1.51,3.517227247,2.006036505,11.44961551,4.01677181,0.002183616
ENSMUSG00000028116.13,Myoz2,10.45,4.22,9.13,0.47,0.63,3.43,3.4,7.933333333,0.55,3.415,3.321123788,2.446827855,9.994426521,5.452159827,0.002373795
ENSMUSG00000042895.5,Abra,6.86,4.96,6.82,0.41,0.52,1.58,2.08,6.213333333,0.465,1.83,3.172717474,1.783168611,9.017437223,3.441812752,0.002378374
ENSMUSG00000049134.15,Nrap,19.11,7.33,17.02,0.76,1.35,4.44,4.75,14.48666667,1.055,4.595,3.363418235,2.048460137,10.291763,4.136642086,0.002386034
ENSMUSG00000096944.1,Gm26722,5.1,13.16,11.2,0,0,1.44,0.64,9.82,0,1.04,6.152512017,3.360942857,71.13620061,10.27411952,0.002432945
ENSMUSG00000025172.2,Ankrd2,12.18,4.22,12.96,0.64,0.3,1.61,1.83,9.786666667,0.47,1.72,3.804026161,1.686655973,13.96773473,3.219096828,0.002939099
ENSMUSG00000093030.1,Gm23632,246.46,241.35,136.15,53.06,60.19,119.38,107.97,207.9866667,56.625,113.675,1.597648954,1.04444911,3.026497069,2.062578617,0.003155866
ENSMUSG00000083086.1,Gm15531,8.7,8.73,6.45,1.21,3.23,10.12,10.2,7.96,2.22,10.16,1.514689642,2.177707033,2.857373523,4.524339005,0.003173762
ENSMUSG00000031204.2,Asb12,5.67,5.26,6.37,0.16,0.77,1.85,1.16,5.766666667,0.465,1.505,3.067556105,1.518971735,8.383519929,2.865867152,0.003371595
ENSMUSG00000031543.18,Ank1,14.14,5.55,13.5,0.64,1.22,4.34,3.91,11.06333333,0.93,4.125,3.141897004,2.059647207,8.826839738,4.168843481,0.00345901
ENSMUSG00000079428.8,Tceal7,6.43,4.53,8.24,0.59,0.62,1.86,2.24,6.4,0.605,2.05,2.90270457,1.626195947,7.478270051,3.086979596,0.003607445
ENSMUSG00000096519.1,Gm10721,7.43,42.17,7.82,0.39,1.52,63.83,55.71,19.14,0.955,59.77,3.89625732,5.847622647,14.88985005,57.58505953,0.004039091
ENSMUSG00000000031.15,H19,114.36,56.74,123.78,24.92,17.44,61.59,61.59,98.29333333,21.18,61.59,1.91240868,1.56569855,3.764370632,2.960207998,0.004753256
ENSMUSG00000107689.1,RP23-281H4.12,24.82,12.26,29.58,4.08,2.59,9.44,6.58,22.22,3.335,8.01,2.414707311,1.275194436,5.332112839,2.420314349,0.005109515
ENSMUSG00000051456.4,Hspb3,8.19,5.48,7.7,1.36,0.59,2.35,2.44,7.123333333,0.975,2.395,2.455984608,1.241723954,5.486874617,2.364809474,0.005170631
ENSMUSG00000102683.1,Gm37375,8.93,5.44,7.42,0,2.36,12.23,8.41,7.263333333,1.18,10.32,2.235150718,3.050397931,4.70811878,8.284404117,0.005471012
ENSMUSG00000102839.1,Gm37385,8.93,5.44,7.42,0,2.36,12.23,8.41,7.263333333,1.18,10.32,2.235150718,3.050397931,4.70811878,8.284404117,0.005471012
ENSMUSG00000105058.1,Gm43590,8.93,5.44,7.42,0,2.36,12.23,8.41,7.263333333,1.18,10.32,2.235150718,3.050397931,4.70811878,8.284404117,0.005471012
ENSMUSG00000030592.16,Ryr1,7.65,4.78,7.15,0.73,0.57,2.68,2.97,6.526666667,0.65,2.825,2.842947888,1.98072008,7.174846108,3.94690031,0.00559264
ENSMUSG00000026571.12,Dcaf6,14.62,18.72,26.87,4.16,6.5,15.27,13.94,20.07,5.33,14.605,1.612617681,1.47545125,3.058062052,2.780706061,0.006167247
ENSMUSG00000033196.17,Myh2,19.64,6.08,17.12,0.67,1.23,5.69,5.82,14.28,0.95,5.755,3.478414521,2.501888866,11.14569381,5.664265404,0.00632909
ENSMUSG00000021373.15,Cap2,6.9,4.19,8.67,0.78,1.01,1.76,2.34,6.586666667,0.895,2.05,2.455206083,1.138101242,5.483914518,2.200911664,0.006536909
ENSMUSG00000098690.1,Gm27316,22.29,16.44,23.55,7.47,6.16,17.47,11.44,20.76,6.815,14.455,1.311444944,1.111816814,2.481899924,2.161176372,0.006791267
ENSMUSG00000041329.13,Atp1b2,9.28,5.86,10,1.12,1.97,3.48,2.86,8.38,1.545,3.17,2.079521617,1.023670277,4.22667041,2.033084639,0.006899564
ENSMUSG00000086717.1,Gm15655,5.35,0,8.56,1.35,0,19.49,14.2,4.636666667,0.675,16.845,2.315234584,4.463715726,4.97685579,22.06542647,0.0081105
ENSMUSG00000094834.1,Gm25472,51.53,148.56,39.42,0,0,19.51,15.85,79.83666667,0,17.68,9.169053685,7.310286584,575.6522294,158.7141102,0.008333919
ENSMUSG00000096385.7,Gm11168,2.42,26.14,5.1,0.32,0,36.74,28.17,11.22,0.16,32.455,5.088741974,6.926965233,34.03015869,121.6814325,0.008639056
ENSMUSG00000023795.16,Pisd-ps2,12.96,21.43,13.08,6.23,5.98,17.84,16.61,15.82333333,6.105,17.225,1.08025277,1.519014273,2.114406507,2.865951653,0.009594342
ENSMUSG00000096736.1,Gm17535,0,2.01,0.19,0.08,0,3.14,3.87,0.733333333,0.04,3.505,2.211372692,4.581903745,4.631157082,23.94916987,0.010044415
ENSMUSG00000026308.8,Klhl30,4.6,2.8,4.85,0.33,0.23,0.97,0.67,4.083333333,0.28,0.82,3.137407299,1.277956112,8.799413075,2.424951868,0.010499721
ENSMUSG00000048583.16,Igf2,13.56,7.73,11.93,2.64,2.93,6.35,5.11,11.07333333,2.785,5.73,1.670902971,1.050764715,3.184138237,2.071627644,0.011502495
ENSMUSG00000097551.1,Gm7976,1.39,0.81,2.64,0.28,0.13,4.64,3.12,1.613333333,0.205,3.88,2.172633094,3.679997418,4.508454912,12.8170951,0.011689276
ENSMUSG00000057577.2,Gm10025,1.3,2.33,4.56,0.67,1.37,6.41,5.32,2.73,1.02,5.865,1.058103568,2.436818833,2.082192666,5.414465148,0.012067227
ENSMUSG00000063754.7,Gm10136,4.62,7.74,5.12,0.85,0.51,2.83,1.75,5.826666667,0.68,2.29,2.627459847,1.635159853,6.179370375,3.106219655,0.012067322
ENSMUSG00000032355.16,Mlip,13.03,5.67,14.64,2.1,2.43,4.97,4.37,11.11333333,2.265,4.67,1.961045207,1.046976491,3.893439496,2.066195106,0.012284616
ENSMUSG00000070424.11,Art5,6.23,3.94,4.68,0.31,0.76,1.85,0.98,4.95,0.535,1.415,2.688576663,1.272058389,6.446770666,2.415058924,0.013591025
ENSMUSG00000042717.5,Ppp1r3a,4.31,3.42,5.1,0.2,0.32,1.28,1.48,4.276666667,0.26,1.38,3.276880846,2.03161806,9.692580729,4.088631553,0.01370151
ENSMUSG00000096667.1,Gm22862,0,0.86,4.22,0,0,5.16,12.47,1.693333333,0,8.815,3.710784957,6.314803992,13.09355508,79.60592961,0.014000943
ENSMUSG00000077222.1,Gm22270,6.08,12.71,4.09,0,0,4.26,6.86,7.626666667,0,5.56,5.793703964,5.660492776,55.47262009,50.57991741,0.014374575
ENSMUSG00000083929.3,Gm10600,3.7,2.98,3.91,0.26,0,1.16,0.66,3.53,0.13,0.91,3.623139015,2.099262608,12.32178203,4.284903186,0.015693648
ENSMUSG00000006435.15,Neurl1a,6.53,3.15,4.95,0.58,0.6,1.58,1.13,4.876666667,0.59,1.355,2.550510845,1.097104091,5.858416827,2.139248518,0.016710807
ENSMUSG00000096826.1,Ccl27b,71.84,41.02,38.21,13.31,20.95,34.17,41.4,50.35666667,17.13,37.785,1.271300989,1.178821244,2.413791375,2.263917278,0.017815233
ENSMUSG00000103148.1,Gm37746,2.9,7.19,1.46,0,2.45,15.77,7.71,3.85,1.225,11.74,1.294190913,3.185197247,2.452394225,9.095779286,0.017930431
ENSMUSG00000085888.7,Gm12224,3.89,2.85,4.67,0.15,0.19,1.5,1.3,3.803333333,0.17,1.4,3.508866724,2.446354212,11.38345604,5.450370155,0.018821327
ENSMUSG00000046480.5,Scn4b,6.39,3.92,6.96,0.44,1.31,1.93,2.24,5.756666667,0.875,2.085,2.294073652,1.19012119,4.904389812,2.281719093,0.019924657
ENSMUSG00000024042.6,Sik1,16.47,24.71,26.13,5.68,12.37,20.86,19.4,22.43666667,9.025,20.13,1.027137448,1.189588596,2.037976545,2.280876917,0.0208451
ENSMUSG00000108092.1,RP23-461C23.2,3.96,4.21,4.12,1.56,1.17,7.03,5.94,4.096666667,1.365,6.485,1.23715601,2.196381441,2.357333719,4.583283229,0.0208845
ENSMUSG00000024617.16,Camk2a,6.62,4.79,6.2,0.94,1.02,1.98,2.18,5.87,0.98,2.08,2.176148526,1.041441238,4.519454115,2.058282831,0.022033804
ENSMUSG00000026459.5,Myog,4.64,2.65,4.33,0.13,0.31,1.5,1.47,3.873333333,0.22,1.485,3.301302205,2.292303782,9.858049364,4.898376892,0.02242972
ENSMUSG00000072720.9,Myo18b,5.75,2.81,4.38,0.48,0.23,1.76,1.74,4.313333333,0.355,1.75,2.963293032,2.025682455,7.799020979,4.071844465,0.02378121
ENSMUSG00000078894.9,2210418O10Rik,3.02,7.51,10.33,0.95,0.05,2.39,4.35,6.953333333,0.5,3.37,3.247173907,2.54097549,9.495038872,5.819823861,0.024880715
ENSMUSG00000063821.5,Dupd1,4.3,3.27,3.69,0.26,0.23,1.07,1.37,3.753333333,0.245,1.22,3.15377051,1.926821435,8.89978516,3.802165776,0.025005546
ENSMUSG00000010492.10,Uckl1os,4.14,2.73,3.63,0.28,0.22,0.72,1.01,3.5,0.25,0.865,3.036822194,1.459831726,8.206813644,2.750762772,0.026424872
ENSMUSG00000024411.9,Aqp4,4.35,2.37,4.06,0.19,0.22,1.37,1.2,3.593333333,0.205,1.285,3.262988622,2.165311976,9.599695351,4.485634204,0.028092203
ENSMUSG00000093249.2,Gm24576,2.16,4.29,4.98,0,0.5,1.1,3.78,3.81,0.25,2.44,3.15473806,2.844901535,8.905755845,7.184568616,0.03033693
ENSMUSG00000016349.10,Eef1a2,4.8,2.45,3.67,0.06,0.61,0.99,0.89,3.64,0.335,0.94,2.789488045,1.264739785,6.91384397,2.402838667,0.031381343
ENSMUSG00000051367.8,Six1,4,3.22,3.74,0.49,0.25,0.8,0.95,3.653333333,0.37,0.875,2.686584299,1.064755812,6.43787381,2.091815792,0.031651101
ENSMUSG00000038201.9,Kcna7,3.78,2.87,3.16,0.09,0.43,0.86,0.56,3.27,0.26,0.71,2.903696958,1.171691568,7.483415908,2.252756792,0.032287845
