Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.VRT,logFC.CRT,relative.VRT,relative.CRT,PValue
ENSMUSG00000098486.1,Gm27385,0,0,0,0,0,2.98,4.96,0,0,3.97,-5.185946499,-5.185946499,0.027471005,0.027471005,0.001220412
ENSMUSG00000103191.1,Gm37646,0,0,0,0,0,2.42,3.96,0,0,3.19,-4.880022174,-4.880022174,0.033959942,0.033959942,0.001340115
ENSMUSG00000093787.1,Gm20677,0,0,0,0,0,2.08,3.3,0,0,2.69,-4.643149963,-4.643149963,0.040019586,0.040019586,0.001383005
ENSMUSG00000089103.1,Gm23114,0,0,0,0,0,2.03,3.33,0,0,2.68,-4.637992208,-4.637992208,0.040162915,0.040162915,0.001579292
ENSMUSG00000091028.1,Gm10722,1.31,5.55,1.82,0.16,0.19,8.73,7.75,2.893333333,0.175,8.24,-4.886849912,-1.781533442,0.033799602,0.290874062,0.001674073
ENSMUSG00000064964.1,Gm25147,0,0,0,0,0,8.66,4.79,0,0,6.725,-5.930014411,-5.930014411,0.016401659,0.016401659,0.001853492
ENSMUSG00000105471.1,A430073D23Rik,4.45,5.65,7.17,3.16,4.79,14.82,9.72,5.756666667,3.975,12.27,-1.638693604,-1.390715716,0.321147149,0.381375556,0.001856472
ENSMUSG00000095186.1,Gm10718,3.84,21.57,2.82,0.5,0,59.98,35.17,9.41,0.25,47.575,-7.069995098,-2.639837414,0.00744251,0.160446318,0.001925877
ENSMUSG00000074564.3,Gm10720,2.43,12.83,3.32,0.52,0.03,19.98,19.73,6.193333333,0.275,19.855,-5.717190017,-1.976422896,0.019008783,0.254119168,0.002178821
ENSMUSG00000096463.1,Gm21750,3.41,4.73,4.37,2.14,1.34,9.63,7.9,4.17,1.74,8.765,-2.298856688,-1.362720589,0.203224087,0.38884832,0.002225041
ENSMUSG00000080529.1,Gm23882,0,0,0,0,0,2.74,5.37,0,0,4.055,-5.215678399,-5.215678399,0.02691066,0.02691066,0.002430778
ENSMUSG00000074877.3,Gm10780,2.17,1.91,6.55,3.78,1.37,14.38,12.25,3.543333333,2.575,13.315,-2.35956291,-2.186466455,0.194850169,0.219688849,0.002671487
ENSMUSG00000105874.1,AL606464.1,0,0,0,0,0,2.02,2.29,0,0,2.155,-4.33749447,-4.33749447,0.049463411,0.049463411,0.002830488
ENSMUSG00000093239.1,Gm24106,0,0,0,0,0,1.59,2.57,0,0,2.08,-4.288960936,-4.288960936,0.051155709,0.051155709,0.003471712
ENSMUSG00000096519.1,Gm10721,7.43,42.17,7.82,0.39,1.52,63.83,55.71,19.14,0.955,59.77,-5.847622647,-1.951365328,0.017365615,0.25857141,0.004039091
ENSMUSG00000108312.1,RP23-396C19.6,0,0,0,0,0,1.32,2.7,0,0,2.01,-4.242140844,-4.242140844,0.052843109,0.052843109,0.00428131
ENSMUSG00000106631.1,Gm42669,4.4,3.81,4.92,3,3.04,10.95,8.4,4.376666667,3.02,9.675,-1.682746498,-1.435987852,0.311489082,0.36959372,0.004583298
ENSMUSG00000095662.1,Gm14482,0,0,0,0,0,1.69,2.21,0,0,1.95,-4.2007633,-4.2007633,0.054380631,0.054380631,0.004946064
ENSMUSG00000034075.10,Zdhhc5,10.15,13.82,10.89,5.84,13.34,19.13,20.18,11.62,9.59,19.655,-1.068452874,-1.069177359,0.476830071,0.476590679,0.006254429
ENSMUSG00000077276.1,Gm22784,0,0,0,0,0,1.42,2.29,0,0,1.855,-4.132720672,-4.132720672,0.057006859,0.057006859,0.006406055
ENSMUSG00000077460.1,Gm26419,0,0,0,0,0,1.39,2.24,0,0,1.815,-4.103082425,-4.103082425,0.058190102,0.058190102,0.007143119
ENSMUSG00000106819.1,Gm43498,4.4,5.28,6.34,2.52,2.87,11.31,7.79,5.34,2.695,9.55,-1.822122112,-1.138526722,0.282804678,0.454223193,0.007832235
ENSMUSG00000097367.1,Gm26718,0,0.54,0.8,6.41,0.68,6.63,8.65,0.446666667,3.545,7.64,-1.123000242,-4.044246468,0.459138004,0.060612264,0.007956061
ENSMUSG00000086717.1,Gm15655,5.35,0,8.56,1.35,0,19.49,14.2,4.636666667,0.675,16.845,-4.463715726,-2.148481143,0.045319768,0.225549948,0.0081105
ENSMUSG00000094824.1,Gm23803,0,0,0,0,0,12.78,4.57,0,0,8.675,-6.29201977,-6.29201977,0.012761841,0.012761841,0.008518965
ENSMUSG00000096385.7,Gm11168,2.42,26.14,5.1,0.32,0,36.74,28.17,11.22,0.16,32.455,-6.926965233,-1.838223259,0.008218181,0.279665993,0.008639056
ENSMUSG00000065087.1,Snord22,0,0,0,2.38,0,4.68,6.39,0,1.19,5.535,-2.153571375,-5.654140939,0.224755547,0.01985793,0.009165873
ENSMUSG00000096736.1,Gm17535,0,2.01,0.19,0.08,0,3.14,3.87,0.733333333,0.04,3.505,-4.581903745,-2.370531053,0.041755101,0.19337443,0.010044415
ENSMUSG00000107771.1,RP23-407F20.1,3.69,1.79,2.81,1.81,1.96,7.59,6.23,2.763333333,1.885,6.91,-1.85214395,-1.594521557,0.276980449,0.331132023,0.010531736
ENSMUSG00000091313.1,Fth-ps2,2.91,1.19,0.88,1.02,3.13,6.09,5.6,1.66,2.075,5.845,-1.483954159,-2.046927898,0.357507606,0.241998851,0.010702756
ENSMUSG00000092719.1,Gm22859,0,0,0,0,0,1.85,5.81,0,0,3.83,-5.135599854,-5.135599854,0.028446602,0.028446602,0.010784564
ENSMUSG00000097551.1,Gm7976,1.39,0.81,2.64,0.28,0.13,4.64,3.12,1.613333333,0.205,3.88,-3.679997418,-1.507364324,0.078020799,0.351753254,0.011689276
ENSMUSG00000057577.2,Gm10025,1.3,2.33,4.56,0.67,1.37,6.41,5.32,2.73,1.02,5.865,-2.436818833,-1.378715265,0.184690449,0.384561099,0.012067227
ENSMUSG00000077426.1,Gm26387,0,0,0,0,0,1.42,4.57,0,0,2.995,-4.792208148,-4.792208148,0.036091223,0.036091223,0.012074853
ENSMUSG00000089155.1,Gm23582,0,0,0,0,0,1.23,1.97,0,0,1.6,-3.932421765,-3.932421765,0.065497254,0.065497254,0.012826572
ENSMUSG00000103234.1,Gm37158,3.91,2.63,4.04,2.01,1.96,7.86,6.93,3.526666667,1.985,7.395,-1.878111797,-1.35412032,0.272039529,0.391173266,0.013198258
ENSMUSG00000096667.1,Gm22862,0,0.86,4.22,0,0,5.16,12.47,1.693333333,0,8.815,-6.314803992,-2.604019035,0.012561878,0.164479646,0.014000943
ENSMUSG00000107722.1,RP24-183E22.2,0.23,0.48,0.51,0.42,0.34,9.47,1.12,0.406666667,0.38,5.295,-3.488871493,-3.626400239,0.089072785,0.080973843,0.015703521
ENSMUSG00000103547.1,Gm37665,0,0,0,0,1.23,1.66,4.95,0,0.615,3.305,-2.266636488,-4.929410225,0.207813821,0.032817059,0.016943997
ENSMUSG00000104961.1,Gm43835,0,0,0,0,1.23,1.66,4.95,0,0.615,3.305,-2.266636488,-4.929410225,0.207813821,0.032817059,0.016943997
ENSMUSG00000103148.1,Gm37746,2.9,7.19,1.46,0,2.45,15.77,7.71,3.85,1.225,11.74,-3.185197247,-1.891006334,0.109941102,0.269618924,0.017930431
ENSMUSG00000030209.14,Grin2b,0.04,0.18,0.87,0.63,0.11,2.03,3.49,0.363333333,0.37,2.76,-2.605555029,-2.832802702,0.164304622,0.140359371,0.019422508
ENSMUSG00000087581.1,Gm11571,1.2,1.48,1.12,2.02,2.57,4.75,4.8,1.266666667,2.295,4.775,-1.060228921,-2.117007565,0.47955596,0.230524571,0.023917531
ENSMUSG00000088626.2,Gm23034,0,0,0,0,0,1.06,1.68,0,0,1.37,-3.724302884,-3.724302884,0.075661182,0.075661182,0.023992182
ENSMUSG00000096563.1,Gm24095,0,0,0,0,0,1.39,6.71,0,0,4.05,-5.21394631,-5.21394631,0.026942988,0.026942988,0.024248268
ENSMUSG00000105880.1,Gm43678,0.93,1.64,3.58,0.97,2.04,5.33,5.54,2.05,1.505,5.435,-1.815929759,-1.66111868,0.284021144,0.316193873,0.024399684
ENSMUSG00000094856.1,Gm21962,1.65,3.9,3.79,3.01,0.43,7.77,5.91,3.113333333,1.72,6.84,-1.961836981,-1.415846648,0.256701391,0.374789737,0.02527616
ENSMUSG00000106408.1,Gm43321,3.52,4.24,3.71,2.53,3.02,8.18,7.14,3.823333333,2.775,7.66,-1.467558382,-1.291908286,0.361593743,0.408410458,0.028593891
ENSMUSG00000105374.1,Gm42551,0.41,0.64,0.79,0.64,0.54,3.18,3.02,0.613333333,0.59,3.1,-2.227631944,-2.412455446,0.213508891,0.187835877,0.029833411
ENSMUSG00000108551.1,RP23-74N13.1,7.84,6.23,3.82,7.66,4.79,16.12,8.52,5.963333333,6.225,12.32,-1.011566783,-1.346930663,0.496007286,0.39312754,0.031572401
ENSMUSG00000035694.15,Caps2,1.07,1.05,1.2,0.05,0.53,3.49,2.76,1.106666667,0.29,3.125,-3.038017476,-1.696939527,0.121749059,0.308439721,0.036257338
ENSMUSG00000102307.1,Gm38194,3.26,3.26,3.17,2.29,3.07,7.04,6.7,3.23,2.68,6.87,-1.361131891,-1.371231372,0.389276756,0.386561169,0.039329135
ENSMUSG00000085918.1,Gm13032,0.51,0.54,0.38,0.66,0.84,3.45,2.17,0.476666667,0.75,2.81,-1.796170746,-2.564735342,0.287937831,0.169019857,0.041841151
ENSMUSG00000085487.1,Gm15654,0.77,0,0,0,0,1.02,2.31,0.256666667,0,1.665,-3.986178414,-2.48380628,0.063101652,0.178772127,0.044251773
ENSMUSG00000098792.1,Gm27401,0,0,0,0,0.86,1.31,1.62,0,0.43,1.465,-1.572576632,-3.813931858,0.336207396,0.071103685,0.044794203
ENSMUSG00000091271.1,Gm17104,0.81,0,0,0,3.68,12.2,1.51,0.27,1.84,6.855,-1.873645018,-4.407129802,0.272883105,0.047132637,0.044994534
ENSMUSG00000002733.8,Plekha3,4.27,4.72,5.25,7.05,2.53,16.12,6.52,4.746666667,4.79,11.32,-1.260781783,-1.546678111,0.417317758,0.342297317,0.045109315
ENSMUSG00000105549.1,Gm43540,2.11,3.07,3.36,1.34,1.37,5.9,4.77,2.846666667,1.355,5.335,-1.929827704,-1.187271797,0.262460514,0.439132496,0.049382464
ENSMUSG00000035686.8,Thrsp,125.62,108.49,124.98,192.01,225.53,7.28,6.78,119.6966667,208.77,7.03,4.829107393,3.746794598,28.42537335,13.42448276,9.65485E-08
ENSMUSG00000030546.14,Plin1,23.83,21.17,23.25,22.56,27.22,0.8,0.64,22.75,24.89,0.72,4.868508409,4.461297482,29.21238833,22.0284714,3.24197E-07
ENSMUSG00000024990.12,Rbp4,74.57,56.07,62.38,106.18,113.1,3.96,4.33,64.34,109.64,4.145,4.651410955,3.599087146,25.13125748,12.1180625,4.2446E-07
ENSMUSG00000031722.9,Hp,423.36,391.81,384.19,496.63,554.29,35.57,36.46,399.7866667,525.46,36.015,3.824541626,3.148405924,14.16777819,8.866753224,4.68826E-07
