Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.VRT,logFC.DRT,relative.VRT,relative.DRT,PValue
ENSMUSG00000021798.13,Ldb3,106.24,70.29,104.72,6.64,3.8,24.62,27.3,93.75,5.22,25.96,-3.850892793,-1.52510102,0.06930519,0.347455225,1.3296E-05
ENSMUSG00000019194.14,Scn1b,50.11,36.96,44.31,8.12,5.9,9.63,9.28,43.79333333,7.01,9.455,-2.342118803,-1.877931415,0.197220469,0.272073544,1.35294E-05
ENSMUSG00000026100.6,Mstn,19.89,15.09,21.73,0.16,0.9,4.9,5.08,18.90333333,0.53,4.99,-4.603136181,-1.579541642,0.041145082,0.334588174,1.53165E-05
ENSMUSG00000038670.10,Mybpc2,70.51,44.88,70.37,2.39,4.6,12.71,11.9,61.92,3.495,12.305,-3.822241697,-1.998556173,0.070695309,0.250250321,1.5623E-05
ENSMUSG00000071637.4,Cebpd,165.98,134.44,130.58,54.31,51.27,25.3,27.79,143.6666667,52.79,26.545,-1.154626776,-2.110625398,0.449182375,0.23154662,1.58477E-05
ENSMUSG00000030401.15,Rtn2,83.68,59.75,83.78,12.25,11.61,23.2,21.61,75.73666667,11.93,22.405,-2.37129018,-1.429752321,0.193272706,0.371194613,1.58872E-05
ENSMUSG00000004814.10,Ccl24,22.52,16.96,23.38,8.85,7.12,0.72,0.73,20.95333333,7.985,0.725,-1.099832092,-4.334529273,0.466570795,0.049565178,1.69415E-05
ENSMUSG00000030672.12,Mylpf,2413.12,1667.17,2282.28,174.39,126.26,547.03,613.96,2120.856667,150.325,580.495,-3.509252738,-1.545234137,0.087823282,0.342640089,1.70154E-05
ENSMUSG00000041889.7,Shisa4,33.34,25.78,36.12,3.86,4.49,9.82,7.77,31.74666667,4.175,8.795,-2.613311991,-1.518816233,0.163423574,0.348972139,1.7784E-05
ENSMUSG00000019528.18,Gyg,70.09,52.89,69.19,17.45,20.81,16.95,17.63,64.05666667,19.13,17.29,-1.45681868,-1.561351955,0.364295561,0.338833411,1.77982E-05
ENSMUSG00000017300.9,Tnnc2,5929.77,3174.31,5537.47,326.66,353.19,1125.66,1070.82,4880.516667,339.925,1098.24,-3.551675244,-1.822795522,0.085278434,0.282672703,1.8228E-05
ENSMUSG00000105528.1,Gm43519,15.97,13.74,17.58,1.16,2.94,2.64,2.32,15.76333333,2.05,2.48,-2.596955918,-2.296698365,0.165286876,0.203528345,1.86545E-05
ENSMUSG00000046818.7,Ddit4l,70.53,50.71,60.68,10.51,10.62,24.09,21.24,60.64,10.565,22.665,-2.226403844,-1.093862224,0.213690719,0.468505463,1.95253E-05
