gene_name,gene_id,CCT1,CCT2,CEA1,CEA2,CMA1,CMA2,CLA1,CLA2,CC1,CC2,CC3,CRT1,CRT2,CRT3
Pcdh11x,ENSMUSG00000034755.18,21.14217168,19.2391554,20.23672462,15.53066564,7.841306444,14.16245797,9.943814449,8.528909426,8.135130115,9.885201146,9.751695044,24.7699057,25.14955002,23.36070271
Afap1l1,ENSMUSG00000033032.15,21.46724063,20.36816365,17.38674957,24.05818609,21.70356866,17.46111737,21.10868306,21.17238113,17.63152382,17.06515249,15.70731765,47.15689506,40.83364589,48.65752414
Mcu,ENSMUSG00000009647.13,20.92205617,22.59631198,19.40382165,17.84687447,15.48413062,17.35248431,21.71504331,19.56553313,16.76436819,16.19960768,14.35866202,39.82547643,35.5874823,44.13132328
Med11,ENSMUSG00000018923.13,0.530348535,0.397803344,0.62995123,0.589130358,0.491754919,0.533616695,0.905257628,0.896892706,0.389486821,0.435465866,0.496740093,1.803089626,1.330876596,1.713275438
Drosha,ENSMUSG00000022191.15,10.31757754,10.41176775,10.5108829,6.932119956,5.432991379,6.313967803,4.229972116,4.704393434,4.399767069,3.959385158,5.095013196,15.73344477,13.50636553,12.92139487
Mrpl16,ENSMUSG00000024683.5,4.942854805,5.450940972,4.652549109,4.439553992,7.241841645,5.846078015,5.26239531,3.344424653,3.372270788,4.437049882,4.904524995,20.74617114,18.30151596,17.2530544
Chchd3,ENSMUSG00000053768.13,0.045285005,0.190457027,0.34524778,0.258321429,0.064262772,0.090051669,2.323358379,1.908891992,2.197010406,1.085680549,1.176972399,5.456335454,4.666165357,6.641683593
Gpr150,ENSMUSG00000045509.5,418.4193156,433.3881994,320.9885959,303.3454915,334.684972,489.4289376,392.3897386,365.8762902,284.6499185,271.6020562,289.427724,878.2168767,865.4596523,857.3760081
Dgcr14,ENSMUSG00000003527.8,4.216149804,4.241762329,3.933370838,2.76212908,2.684888946,2.868462228,3.136358271,3.068837496,2.119988007,2.244244372,2.385531668,6.683900718,6.491111697,6.795887849
Gm9785,ENSMUSG00000043661.3,2.201551822,2.463748617,2.5262068,2.145775663,1.161717357,1.81514668,2.306519326,2.075281349,1.655903285,1.332546148,1.433773598,3.515423,3.70231718,3.940494778
Snrpf,ENSMUSG00000020018.6,0.297116046,0.364063391,0.241385731,0.342290903,0.417273022,0.234351475,0.358181814,0.479373722,0.305908331,0.402709023,0.340317351,1.376028755,1.061502141,1.455392721
Ubxn11,ENSMUSG00000012126.16,3.369279406,2.226635249,1.952213431,2.197002819,1.750307202,0.818217225,4.92569426,4.236868806,1.254975344,2.391444452,2.245511486,8.642970101,6.5166266,8.136969286
Slc35d1,ENSMUSG00000028521.17,2.946585067,2.102397875,1.707874674,5.12581445,7.516033586,2.175101662,10.16342831,9.181747383,5.440562537,5.750202083,5.292180174,21.39387137,19.74768369,20.90700722
Trpm4,ENSMUSG00000038260.9,1.17614675,0.94030733,1.103842538,2.486677312,2.203351593,0.856643634,11.85670408,11.18146507,9.10942886,9.082187896,8.075071887,43.35727834,35.14073607,45.70323675
1700111E14Rik,ENSMUSG00000029837.2,63.08524946,54.05110704,49.03584456,32.92927487,27.33880738,33.32108517,24.41421212,24.31134381,36.98643767,31.75174888,28.87368659,83.95555915,82.98318299,80.3489839
Nphp1,ENSMUSG00000027378.16,4.088487132,4.2723226,5.911289847,3.494428191,3.738559846,3.257004167,4.253327633,3.325907104,3.574355762,3.660181095,3.307157304,10.18734381,11.53740097,10.26172316
Bag3,ENSMUSG00000030847.8,1.075551958,0.660603314,0.975778764,1.185339125,0.903453525,0.486588701,1.485361089,1.715710449,1.002727561,0.992381726,0.919302718,2.96023306,3.171218727,3.298911582
Fcrl5,ENSMUSG00000048031.15,0.482504724,0.501609128,0.437645489,0.328986918,0.791890162,0.686862541,0.391869859,0.480324886,0.844742702,0.678180467,0.625874316,2.599118097,3.129780695,2.210303978
Ndufa3,ENSMUSG00000035674.13,24.33686462,24.49547098,20.05347925,18.19894006,14.32144059,16.26303344,14.71170162,13.72716641,11.8122623,13.26661596,12.12084394,31.10785052,30.1679768,30.47187868
Gng2,ENSMUSG00000043004.13,5.742021496,6.009908535,4.846161862,3.180138284,2.438196286,4.207236728,1.644113102,1.465020303,2.225022003,2.247714764,2.737937564,8.49444698,8.206524812,8.789939258
Rpl37rt,ENSMUSG00000072692.7,0.472772326,0.529916977,0.640301314,0.534087184,0.4807082,0.437860842,0.676152852,1.06763183,0.493417762,0.519655958,0.560210295,2.343486593,2.249702254,1.755056895
Preb,ENSMUSG00000045302.13,8.549202403,8.572878063,9.377588869,11.64262556,12.56591603,6.878848372,16.62836214,13.75615938,7.557798974,11.02125988,8.512765481,25.61181829,24.35080514,28.89586452
Matn4,ENSMUSG00000016995.17,74.55217939,74.82518015,64.4286179,39.21916818,43.71727645,66.27938886,44.94274858,46.27045324,47.56445677,41.61728712,45.5506237,150.6725001,157.4975228,144.7632678
Apcs,ENSMUSG00000026542.6,15.22106963,17.68820624,15.54042652,27.35605228,16.51711825,12.18807882,22.1605619,19.95705392,21.73106302,23.08591961,21.19452279,91.4362096,93.00070263,87.71617263
Il17d,ENSMUSG00000050222.10,32.12954817,19.67008717,21.27031695,31.05794592,65.85315143,38.50520654,17.95471723,21.84912673,24.92959242,28.68533439,31.71233086,149.1754143,125.530918,117.2084723
Tbc1d7,ENSMUSG00000021368.14,30.11718701,36.20556235,35.74470204,32.00015662,27.91603082,33.16908936,32.19433261,33.27443003,23.60260021,26.01066946,23.59942461,77.45095285,60.39455913,68.36035495
Adrb1,ENSMUSG00000035283.4,1.929077961,1.547111316,0.946191956,1.268702201,1.016011565,0.413481516,0.919362403,0.629379212,0.80642062,0.825429339,0.958076913,4.250334013,3.033169891,3.391374738
Fxyd4,ENSMUSG00000004988.9,16.61343819,11.1120451,7.927947597,8.079422419,5.937584551,5.083400908,24.45847315,28.10975522,17.5890156,16.41364847,16.11795573,80.83220454,57.56594797,73.17800815
Ints4,ENSMUSG00000025133.9,9.404446262,7.093576612,5.189059358,4.875405803,5.053127577,4.04134692,2.13065563,2.125332774,2.820705261,3.57216314,4.738012581,23.34694555,16.96036318,17.22787334
Tmem260,ENSMUSG00000036339.17,14.2697695,11.28714924,8.648894161,6.131399286,2.771064953,5.968927175,1.322042804,1.832483862,5.939478065,4.606252146,5.608297809,20.68049071,20.55708971,19.07049545
Snap23,ENSMUSG00000027287.14,1.290141508,1.389431661,1.38766148,1.248349242,2.943287008,2.978791994,2.115058783,1.635294834,3.348243052,2.937361253,2.430709105,10.37204264,9.873053946,11.9041967
Vtn,ENSMUSG00000017344.4,5.187946934,2.975526029,3.373789081,3.518157923,5.723894213,4.211062994,16.30683753,12.26195368,8.119972908,8.312035585,8.611693572,45.10668016,34.41750853,39.83767871
Sh3rf3,ENSMUSG00000037990.18,6.028647457,5.158908361,4.722779253,3.713981488,3.554724971,4.650921426,3.386870124,3.632577456,3.136269728,2.940383701,3.039879941,9.126810006,8.606222158,8.190571127
Atox1,ENSMUSG00000018585.9,11.03336574,9.00114726,9.846153522,8.885855817,9.264974133,8.771501752,15.29193557,13.76529031,9.679880256,11.87882291,11.55810287,42.45384648,59.94622869,44.71100078
Fabp1,ENSMUSG00000054422.7,1.6613134,1.401504437,1.100825597,1.017188948,0.433456002,1.040714711,0.908873762,1.019434926,0.62132666,1.009608003,0.844213999,3.147477016,2.372669064,2.890817918
Tmem183a,ENSMUSG00000042305.12,4.162311698,4.223940567,3.922829132,3.788540145,3.913989134,3.302292016,3.122787275,3.346259585,3.083997691,2.753946989,3.08979698,11.17935883,10.25178352,11.30256618
Gm9752,ENSMUSG00000025450.4,0.385546756,0.418835149,0.372538072,0.907307355,0.468651977,0.213561862,2.91166179,3.339405592,1.680007099,1.727548122,1.602439411,8.477789806,5.914197039,8.640800832
Mrps10,ENSMUSG00000034729.16,0.337950416,0.532235031,0.473113404,0.446582987,0.282789636,0.189729986,0.832541233,0.694008876,0.484112053,0.685634055,0.582008222,2.608573137,2.194788314,3.116886856
Dedd,ENSMUSG00000013973.12,2.377867641,2.009040451,1.608428372,1.014337836,1.065467625,1.379825477,2.442880068,2.179651542,1.179396908,0.954605184,1.251502798,4.206524706,3.351678038,3.981155205
C77370,ENSMUSG00000046449.15,0.211158919,0.215929216,0.24314578,0.224166416,0.210258531,0.167337655,0.459675246,0.504590376,0.200990283,0.203644628,0.234444983,0.936425776,0.747654381,0.891857774
Slc6a9,ENSMUSG00000028542.17,0.909276442,0.766514728,1.516639878,1.382616771,1.174126622,0.830801145,0.987765952,1.055254356,0.754449916,0.793580273,0.905720594,2.810043732,3.599175881,3.582438211
Slamf1,ENSMUSG00000015316.11,4.785686843,4.598130769,4.256107423,3.074919251,2.768843226,4.308616253,1.760454696,2.368696226,2.065806734,1.921847342,2.258533096,6.201066379,5.986963955,6.236364679
Vmn1r66,ENSMUSG00000043066.4,3.379059498,2.79954212,2.623042622,2.987080895,2.139750563,1.758110923,2.066343953,1.500111259,1.669785174,1.593954888,1.74621495,5.583390245,4.726550202,6.174003881
Mrps15,ENSMUSG00000028861.13,0.87492395,1.36908423,1.209650773,1.225272094,1.405656216,0.278923677,10.35117667,7.68179535,5.457350947,6.303288646,5.834559049,34.56230807,27.46932839,32.12737274
Uxt,ENSMUSG00000001134.9,0.089834496,0.106417717,0.033766895,0.066910766,0.251116271,0.092163531,0.407974859,0.244554729,0.170169106,0.224583243,0.276007355,1.432154884,1.353837414,1.691292453
Pim3,ENSMUSG00000035828.10,2.285648958,1.756936482,1.391930522,1.523302617,2.033303214,0.307912307,2.439324043,3.146144007,1.916665146,1.534168097,1.820048603,8.273083326,6.419934628,7.643588546
Olfr279,ENSMUSG00000054036.5,4.42041629,4.06880985,3.112624201,1.519268942,2.141724907,1.980548352,1.396021289,1.334934005,2.072885706,1.743329174,1.926253611,7.014529532,6.083626875,6.240570361
Krt31,ENSMUSG00000048981.1,0.702614015,0.713740529,0.49841145,1.842076243,0.273709057,0.371007352,7.779657972,7.139674459,2.201152918,2.5031506,3.680270428,22.45193196,14.38051102,21.70243269
Mettl14,ENSMUSG00000028114.16,0.822977965,1.285344954,1.176021003,1.528907904,0.720017436,0.717538735,3.600415895,3.01659691,1.378804311,1.485336777,1.3707538,4.43067834,5.665886578,4.970876869
Emilin3,ENSMUSG00000050700.11,8.183546663,7.714906623,6.028212797,5.697909306,6.435432606,6.701663644,7.17931109,8.25679535,5.308105786,5.822773584,5.436654575,20.78201843,16.53948197,17.79164306
Isg15,ENSMUSG00000035692.6,3.239252929,4.213107424,2.991015028,7.402477554,2.146013745,2.47804878,19.30823335,21.04703345,11.90555151,9.614720827,8.739599854,36.78604105,31.28644039,44.76660692
Aldh1a7,ENSMUSG00000024747.3,6.081836078,5.834625187,5.65770416,8.117956436,6.777836819,3.516346031,42.39859809,37.08643342,18.61681115,21.53586907,20.60628933,120.8947202,79.7851654,108.7761906
Prr11,ENSMUSG00000020493.8,1.527720783,1.319301089,1.173764936,1.65752286,2.240423427,2.680737158,5.735083014,6.753809127,3.15840217,2.932141252,3.298590912,16.84734176,12.62628694,15.81078375
Oosp1,ENSMUSG00000041857.10,3.804073315,3.449985731,3.201643265,4.752404173,2.682554497,1.46980754,9.511393652,7.468645684,4.006025356,4.508058799,4.082384929,16.95445393,13.134976,17.41045264
Rab11fip1,ENSMUSG00000031488.13,6.271160862,5.229887838,5.088455629,4.236474054,4.276653352,6.018317394,2.239574867,2.062063032,2.896525989,2.657215201,2.808343418,7.159262822,8.062570026,7.366930787
Pisd-ps2,ENSMUSG00000023795.16,68.83366876,69.31395273,51.15194799,35.03548223,35.25243343,49.56422288,24.96613172,24.95210287,29.23544952,28.41105993,32.36943634,108.0706903,108.0871268,100.6175642
Slc9b1,ENSMUSG00000050150.16,0.327426682,0.223559914,0.087315865,0.128110008,0.30382984,0.243555756,0.112632516,0.169317178,0.169270055,0.129832005,0.171265192,0.645048216,0.763160161,0.581265318
Lce1m,ENSMUSG00000027912.8,10.09209173,11.81477613,11.15939414,11.58227603,8.653241067,10.91273387,11.02418583,9.340112633,8.768830663,8.037377921,7.236925155,21.16832476,19.10005444,22.57893734
Sel1l,ENSMUSG00000020964.14,35.92453733,33.41144997,22.90801462,24.44504633,15.24163953,19.56706139,17.35521649,15.85330762,13.84095647,14.36692188,14.7431547,40.16188032,41.944957,39.82132461
Stra6l,ENSMUSG00000028327.14,15.76203104,15.04433319,13.99944391,18.06296853,24.04146796,19.76506545,17.14753651,15.18862626,13.28318248,13.94650516,12.96417236,46.29032437,40.6729678,41.59836241
Ppwd1,ENSMUSG00000021713.8,2.835355923,2.179491063,2.389761059,2.910605632,2.086072872,1.5134986,3.504926178,3.502981536,2.415911471,2.202586512,2.056373626,8.06246484,5.832872131,7.526280821
Gm2a,ENSMUSG00000000594.7,35.89174779,41.48662527,39.24336315,33.52641004,17.16902809,31.13308833,22.36006035,20.76768725,19.75501359,17.10304726,19.66250982,60.96337942,51.38204338,58.91124183
Clcnkb,ENSMUSG00000006216.10,14.97517297,12.96483486,12.40390093,11.16101296,8.631189824,9.397116131,6.574875966,7.34768218,7.142945365,6.17156334,7.367453198,20.61915493,27.34427101,23.8824413
Ebi3,ENSMUSG00000003206.6,94.88121892,99.64350039,81.61074257,88.07451054,78.56821646,115.3851976,69.68639474,64.09691814,52.13870628,52.07943265,52.97824077,143.1758338,138.2497336,136.1903592
Adam24,ENSMUSG00000046723.3,0.193965266,0.188276219,0,0.614286954,0.263218859,0.349588292,1.58298128,1.284999347,1.106367908,1.292024939,0.745779971,3.871175351,3.037809125,3.30460903
Tpm2,ENSMUSG00000028464.16,1.838064753,2.517820559,2.977716858,4.143388123,4.248892948,1.705347275,6.372084066,8.820731957,3.192535174,3.439946859,3.323385119,11.21732751,11.18153437,14.71421542
Tmem130,ENSMUSG00000043388.8,0.367335092,0.428505345,0.410464921,0.275119915,0.242378021,0.328009451,0.064481078,0.099312534,0.272810603,0.088532034,0.234198294,0.913534592,0.937535477,0.972742723
Pwp2,ENSMUSG00000032834.10,0.90874556,0.785299234,0.742684502,1.117952863,1.328450582,0.822564241,1.971938642,1.664335786,1.200481293,1.140588744,1.149572711,5.375577343,3.973309483,5.493334384
Idh2,ENSMUSG00000030541.16,3.513873854,3.775064614,3.427723113,2.664312272,1.497090048,2.508518678,2.004337652,1.987924512,1.958655472,1.751433869,1.739212084,4.972943691,5.210597321,5.080678681
Zswim5,ENSMUSG00000033948.3,9.434975522,9.947820317,8.95923313,10.28879309,9.157675837,5.875336638,8.912969988,9.000125244,7.101985863,5.94360859,5.957698999,17.7916861,16.70421607,19.22396589
Zcchc10,ENSMUSG00000018239.9,5.502856098,4.547853325,3.250162654,3.099436048,2.212317674,3.018704247,2.669794644,2.342463048,2.420684489,2.62962266,2.390715274,7.261963952,8.405976913,8.16654916
Efna4,ENSMUSG00000028040.7,0.087512949,0.227102404,0.243420147,0.206088734,0.043144615,0.068039669,1.045046304,1.112653698,0.689471851,0.614191738,0.531050059,3.116716102,2.020799897,2.878578549
Serpina7,ENSMUSG00000031271.14,1.197610487,0.827325993,0.428431585,0.320097195,0.119214259,0.569980014,0.236920164,0.126144536,0.4927903,0.39503419,0.569706768,2.786753558,2.997574006,2.756630934
Casz1,ENSMUSG00000028977.16,1.00074643,0.736818986,0.820019964,0.97831993,0.895618316,0.773365587,1.682107118,1.977556544,1.164094758,0.629518722,0.783230601,2.718500569,2.188708311,2.65945967
Egfl8,ENSMUSG00000015467.14,8.726941801,8.353779022,8.025143963,8.965402957,8.034683312,7.013829029,29.92232635,25.07971317,9.564447909,9.586702961,11.54091429,56.82114607,35.57796568,53.30460503
2810417H13Rik,ENSMUSG00000040204.6,2.589978666,2.503535904,2.630914107,2.564874588,2.705761041,2.90057495,2.647734584,2.69757026,2.359622418,1.733963129,1.773076969,5.374777492,5.058391837,5.577773642
Maneal,ENSMUSG00000042763.9,0.14922113,0.207525708,0.184588101,0.425782514,0.602393533,0.193713304,2.609826845,2.907456398,1.667641456,1.560525876,1.435518858,6.805372729,7.817645775,8.37778751
