gene_name,gene_id,DCT1,DCT2,DEA1,DEA2,DMA1,DMA2,DMA3,DLA1,DLA2,DLA3,DC2,DC1,DRT2,DRT1
Cyp1a2,ENSMUSG00000032310.3,60.94325115,56.51161244,52.02609395,50.8174197,19.48059042,21.41014766,17.25508773,8.650307013,10.29111543,8.079285894,21.06315177,18.76497813,46.98277589,47.25057249
Ube2e3,ENSMUSG00000027011.14,44.54482691,42.45666246,42.01279027,45.42662454,9.678556416,6.041727528,8.614958459,6.576955963,7.020616654,7.513543232,39.71761613,36.02964677,36.30558263,35.49491669
Mypop,ENSMUSG00000048481.15,2.229444214,2.412052451,2.976583442,2.436338782,0.58488984,0.669116122,0.340709081,1.287964155,0.914757335,1.207951122,2.417756789,1.867121882,0.573483496,0.791198793
Mknk1,ENSMUSG00000028708.16,100.5783896,102.1215581,104.4906991,100.2947827,32.20172206,27.89078089,27.37157898,7.562471177,9.248575709,8.77374947,91.43623096,94.98065633,82.1388486,83.1358677
Orc6,ENSMUSG00000031697.11,13.16496681,13.10256475,13.83434801,13.24607933,1.441432115,2.416490899,2.837448733,5.670237426,7.540970836,6.069671098,10.73928208,15.58791066,4.356306075,5.25071927
Gm12474,ENSMUSG00000053957.5,3.884901581,3.912092547,5.709992266,4.461828511,1.18392476,1.381734087,1.909194681,0.371294529,0.89405659,0.452894097,1.252887929,1.426676715,3.204226283,3.598457045
Nmur1,ENSMUSG00000026237.3,3.866874305,4.053856138,5.504982625,5.82231716,1.724001628,1.25887365,1.260854854,0.572825363,0.276747665,0.451683406,0.974129136,1.328891898,3.422955536,3.635153706
Sprr2k,ENSMUSG00000054215.2,0.790583204,0.808536775,1.079793365,0.990897659,0.33382813,0.094956391,0.155114913,0.072622762,0.11668856,0.031654911,0.228321831,0.353510673,0.65828112,0.674854669
B4galt1,ENSMUSG00000028413.13,761.4850765,732.0142239,609.0832116,565.0990682,203.4417853,198.994395,132.1513474,51.41018498,44.84860009,41.62971489,97.68396951,101.4582434,436.9427768,457.7012036
Foxj2,ENSMUSG00000003154.15,0.770835922,0.895678996,0.66774945,0.753708725,0.086074908,0.298803849,0.062916186,0.184947268,0.106853644,0.052481373,0.268155461,0.333647484,0.39278636,0.551736852
Lrp8os1,ENSMUSG00000028612.10,912.2003374,890.3836725,1137.544348,1158.73072,240.4919231,207.9977425,190.2640279,77.77435128,73.03400345,73.81118175,247.3750113,242.1025573,611.3189796,671.511032
Gsg1l,ENSMUSG00000046182.8,10.6158261,10.24268465,11.85277331,9.895885591,4.135533625,2.967122331,2.574216244,1.269255329,1.398711178,1.209497382,3.939315259,3.877056149,7.11133638,7.847213955
Hivep1,ENSMUSG00000021366.7,17.25399895,15.40470909,14.88097976,15.08780077,4.261624319,5.014098609,4.307966568,1.383502042,1.496518397,1.910938914,5.960196719,4.798645898,11.67220882,11.14286413
Baiap2,ENSMUSG00000025372.16,97.18100316,97.87969167,80.12800342,80.89511958,24.71306367,31.02799994,25.42842041,7.540471475,7.996469034,6.178592979,60.76251526,66.78300744,68.79827857,70.50364619
10-Sep,ENSMUSG00000019917.9,298.673486,287.0440019,228.7582368,216.3058025,74.27400677,69.82647614,77.22992287,24.71795379,23.08156071,29.05852617,93.58191574,104.1654784,189.054881,183.7384501
Rfc1,ENSMUSG00000029191.16,10.19152886,11.29585931,14.08113549,12.40324792,3.265247702,3.442179018,2.491718505,0.767900215,0.712869049,0.6976047,4.914671888,4.52563271,7.150708005,8.126778914
Trpm4,ENSMUSG00000038260.9,12.15762949,11.57478018,12.56099804,13.10754301,3.828557167,3.853865593,5.236578742,1.228376493,1.111430939,1.411522464,5.680232378,5.708401313,9.348297882,9.285370763
Phb,ENSMUSG00000038845.11,2.957836783,2.946035051,3.460960978,3.395649303,1.198853552,1.306552125,0.995200686,0.870487753,0.838343209,0.901561898,1.153907042,0.893591309,2.173450714,2.452323755
Hoxd8,ENSMUSG00000027102.4,7.262751544,6.935476739,9.546096932,7.234140976,2.157995225,2.923979262,1.694154238,0.453260751,0.793709142,0.757809413,2.109794296,1.206457697,4.645909627,5.063904986
