gene_name,VCT1,VCT2,VCT3,VEA1,VEA2,VEA3,VMA1,VMA2,VLA1,VLA2,VLA3,VC1,VC2,VRT2,VRT1
Epha7,70.4262365,80.59836399,72.0762279,33.93117549,38.30148719,37.39015243,97.89735388,96.09309768,36.66212151,42.92035804,39.3987077,33.0291049,33.44286053,30.17711001,36.96116483
Mnda,2.551534077,3.355950118,2.874931371,1.575588484,1.576930684,1.304984143,4.032275318,3.86928343,1.346041683,1.551706323,1.418759059,1.274545894,1.543375753,1.644215505,1.078934843
Tnfrsf25,192.1977249,252.5457891,214.9942674,116.5208178,129.9666415,124.5890209,242.1867499,277.5827288,109.7332455,131.2791994,110.6903892,102.1190966,102.1802702,80.23040134,107.804615
Tk2,6.976084628,9.31614003,8.12188685,2.657744471,3.44021712,3.130795367,8.648864195,9.937967296,4.380417897,5.257295576,4.815005293,6.480757247,5.704821774,3.358497099,3.474646714
Vps13a,11.83270918,13.09415484,12.27831161,9.687160898,11.18365742,10.01828194,15.62224549,13.64217422,4.362354006,4.680311746,4.405436675,2.766910807,3.482574037,3.733453891,7.155124616
Efcab3,33.50608663,44.58599848,35.8311353,24.05043837,24.28931096,22.72541712,51.03758315,52.48557072,7.759452153,7.572243681,8.556216701,8.888873475,8.968094199,19.1026634,17.71597886
Olfr9,57.18759651,74.03089151,66.27434592,23.49053346,28.91273451,26.02336073,83.3264473,88.81337744,46.19837876,50.1053191,39.92974866,45.92166358,19.39781147,7.8204291,17.95130993
Olfr24,232.9812543,280.3868579,285.5428153,138.3182095,150.0047821,150.7403315,294.9623524,327.7728624,144.0408706,154.8720021,141.1190377,123.3871074,129.2768749,151.1932058,136.8829864
A930002H24Rik,2.78E-17,2.78E-17,2.78E-17,0.067239053,0.19226814,0.084482037,1.005028138,1.098526272,0.308010516,0.058245,0.256375656,0.337670351,0.186777861,0.412543252,0.41344322
Vamp5,2.78E-17,2.78E-17,2.78E-17,2.78E-17,2.78E-17,2.78E-17,1.619958712,2.184361621,2.78E-17,2.78E-17,2.78E-17,2.78E-17,2.78E-17,2.78E-17,2.78E-17
Zfp622,2.78E-17,2.78E-17,2.78E-17,0,0,0.104749006,1.158993984,0.794446309,2.78E-17,2.78E-17,2.78E-17,2.78E-17,2.78E-17,0.12436553,9.46E-05
Pls3,90.749987,75.87126618,74.8581826,173.7786474,175.6783828,184.3899685,595.2475626,604.9554069,501.0674573,489.0767017,481.0027636,465.4735167,455.1180129,503.773206,539.4193271
Klk1b16,85.57961616,77.42879744,68.36156732,81.56030591,81.64538336,86.06546214,418.3803348,384.4898778,233.7335579,250.4056234,241.6835216,256.767775,240.2604323,152.9615015,287.1746315
Fez1,88.99480587,89.7426863,63.38735823,74.23144702,80.68835228,81.98875327,386.2092715,355.1801335,198.8935858,208.0345577,194.7219,180.7957579,149.9630978,138.8021513,203.0892606
Sptb,52.56482619,44.75286828,43.5186263,84.37364409,81.26643143,83.10452901,258.2638856,287.9115513,102.9621095,99.86034931,100.1231078,101.0286709,98.4842795,103.7409596,124.3061291
Naa10,20.42287661,21.18093322,18.01522699,23.26839321,25.42112573,23.49197869,77.86794648,79.23416172,64.27180476,65.54452445,60.27911073,54.4175127,47.55021187,41.38825943,60.20327153
Nsf,14.35512975,15.95679775,13.90113904,20.54749223,22.22676346,24.6655041,70.77768157,72.36853253,43.5384938,43.19585162,47.24515183,51.63647372,45.78839324,18.39467451,19.76678746
Reg1,0.732106435,0.593386491,0.608882263,1.140809891,1.783533397,1.510871741,3.455377467,4.313584935,1.73602094,1.302852054,1.170601147,0.394984946,0.786826792,1.163736805,0.877118847
Tmem141,39.37864525,34.01156706,32.48618828,34.62129506,35.40341398,34.75676621,165.3625134,138.6884814,86.77870917,93.35643112,90.33374549,94.90167281,83.99001129,55.25223897,76.72857934
1700086D15Rik,15.86292786,14.90842329,11.97198003,11.78293951,10.4152306,11.52097743,47.69567974,47.53567998,33.17476647,35.93240009,33.7180593,31.76690588,32.90385918,16.35868847,30.8780052
Rlf,160.7325875,180.1891417,120.1369495,104.2619697,113.0117875,114.69916,408.2617585,389.2716223,302.3041066,322.2354243,290.0502384,332.727683,267.9246267,249.0268532,268.2668656
Pcm1,0.062223598,0.274103375,0.2519995,0.222731736,0.26770126,0.559337725,1.507545045,1.2541342,0.490568555,0.660043364,0.459792562,0.455368481,0.556939219,0.190436892,0.282386197
